,dates,MGVR_1,MGVR_2,MGVR_3,MGVR_4,MGVR_5,MGVR_6,MGVR_7,MGVR_8,MGVR_9,MGVR_10
0,1984-04-10 10:35:54+00:00,161.01793290474842,178.9219257083287,214.3680086332301,189.3652425752348,175.07867639933636,191.97547520356812,255.337482117815,200.84628157342107,,
1,1984-05-12 10:36:15+00:00,158.07119342594945,170.18313043744655,204.38613562857387,182.30311857187306,174.35587356507304,186.00027312817545,247.38583501477743,183.20837854568083,,
2,1984-05-28 10:36:41+00:00,177.08051149096923,192.37232319568477,226.95575681706077,190.2570277547444,187.24985290758372,205.10315942274687,285.52618361977926,213.3777217111768,,
3,1984-06-06 10:30:42+00:00,,,,,,,,,,
4,1984-06-13 10:37:00+00:00,167.94234820231915,183.76017482797954,214.42475427142793,191.52706287018296,184.7875721411351,196.1154122954169,285.58662261889646,231.7232038644456,209.05928419477718,369.05675562003165
5,1984-07-15 10:37:26+00:00,171.24521189518475,194.23399375173054,234.2757058565854,224.7700422982713,220.84309349375124,212.50908109079253,301.4264995300343,248.8642571628431,272.6375904660416,385.4704802872303
6,1984-07-24 10:31:35+00:00,163.8087051242302,175.8375878205091,216.01109354646977,176.11421566499908,168.64362237561525,177.35152501509617,249.3415500832814,194.7613059547737,,
7,1984-07-31 10:38:00+00:00,183.06450612247176,195.68978477802642,237.7259741031796,215.6841250611383,223.20385742921732,227.9773892717042,304.37938977084127,273.3627161289196,314.2030041341878,331.562294038789
8,1984-08-25 10:32:34+00:00,168.13469212928806,189.99888362025348,232.2787129084474,203.00411696656582,190.4000992191397,199.85157935557,286.13363157756874,236.18460546423674,226.94057487181925,
9,1984-09-10 10:32:38+00:00,183.7141504634457,202.11612766347338,242.15710304779225,212.80348573844,202.645719879145,213.44593287622575,300.2520952377106,237.1463325076918,256.271464682991,400.67073541407177
10,1984-09-26 10:32:40+00:00,165.86660625313465,181.09751486037192,223.66425959470956,201.03271008142806,192.08158462937726,197.15229587624054,276.2160719318641,219.8642208755365,,378.6565912122373
11,1984-10-12 10:32:38+00:00,,190.62278047620094,226.62608214900064,203.122318543048,192.8610059392201,208.51602268845232,297.0418715665646,235.1963354415154,,375.0819452840585
12,1984-10-28 10:32:33+00:00,,,,,,,,,349.0831584460341,407.66355925356766
13,1984-12-06 10:38:43+00:00,148.34358224905108,168.50489094665824,206.66564962564985,,162.77738635926738,176.53624679455245,244.47993801460802,196.56540735147956,,
14,1985-03-12 10:39:09+00:00,164.45857235553618,188.00008400537328,232.86025076253526,206.8712833385808,204.03626221545048,233.68232589936665,325.2348361145276,270.18180743462875,305.5816283326976,377.30227019206757
15,1985-04-13 10:39:02+00:00,163.65800419208108,178.74818788746342,226.18500915849546,200.00641874405733,195.99685943790146,205.03930905360986,282.6005815065103,232.48254937518544,,
16,1985-04-29 10:38:55+00:00,163.14659040186308,180.71812362624215,222.57377216895492,205.12441021898354,196.25506619917837,208.3391080815253,282.5611474671787,230.01197714746462,,
17,1985-05-24 10:32:40+00:00,,,,,,,,,,
18,1985-06-16 10:38:49+00:00,162.4429140866142,178.4667655220233,220.20023442093483,197.9670275095711,187.15299068467948,197.9500647760286,276.9637374240213,231.29990372227132,,
19,1985-07-18 10:38:38+00:00,168.79109650401702,185.0876715452136,236.19911506441545,210.24481891383016,203.6244262368703,220.85074301599948,312.2274415519522,260.26165708033204,280.12940861891184,355.6501732400471
20,1985-07-27 10:32:23+00:00,,185.06820583610386,211.3320382397397,192.00385688957903,187.022837575736,195.28316713605093,248.9586734880849,,,
21,1985-08-03 10:38:30+00:00,175.33158305546633,190.7695995091416,236.77874083082145,205.78871797753376,197.2468471914778,227.64398089994378,312.47456360844734,254.8040741537692,282.1341815821262,344.12858684645823
