,dates,MIRA_1,MIRA_2,MIRA_3,MIRA_4,MIRA_5,MIRA_6,MIRA_7,MIRA_8,MIRA_9,MIRA_10
0,1984-04-17 10:41:17+00:00,198.161310720365,184.98136941680755,148.97949885457743,171.81994488737587,230.2278357000393,264.15621086870476,302.4814018438376,285.54557200313985,298.34378457712074,323.94830030534877
1,1984-05-03 10:41:19+00:00,191.08935390288556,133.51250295242116,137.8168144951583,167.7823318216985,200.01490481540498,226.34053131244906,253.67806906509344,257.71342002160446,287.6597388260218,313.57251453431934
2,1984-05-10 10:47:45+00:00,,,,,189.4250177019031,,,250.38018134220624,275.3882851213877,295.530926965541
3,1984-07-06 10:42:40+00:00,,,,,,,,,284.70161667279706,314.7542053834316
4,1984-07-22 10:43:04+00:00,200.84308689217593,188.276513956386,134.3550648828482,168.1509702949408,208.40494095879671,246.45209830112046,264.2368942585568,279.8194270280825,293.6473247674017,322.6201336124535
5,1984-09-08 10:44:12+00:00,,155.9526004633522,128.28163813155342,165.51927594124305,204.84329108294878,235.30014739084814,263.3734814951734,281.6378845678612,287.64298189311626,326.7312379020754
6,1984-09-24 10:44:14+00:00,199.4442750221188,161.52718702306575,122.87992724514348,161.9012417275447,198.96120406938314,229.11110747722856,270.0027952791771,279.26315138865937,298.2161133270535,321.44660380007724
7,1984-11-27 10:44:01+00:00,176.07583306675963,162.73060344024532,104.17364790421806,164.8590655805011,191.66303246649665,207.26324823376322,246.31614872556247,269.64926588474077,314.1795351774674,329.0958341695709
8,1984-12-29 10:44:20+00:00,145.66679330369266,147.92613646703114,,,148.37397893327523,188.85267039197902,221.0860691399532,250.22560903732705,278.5846273614425,265.7511522046
9,1985-01-30 10:44:31+00:00,144.656952320307,137.5328511212407,98.27333223905413,,140.2352586103027,172.96729567710304,207.77096396557468,240.41434082716987,274.50146474466317,278.4417165306342
10,1985-08-10 10:43:49+00:00,174.0120604796615,166.09082939248552,125.67274274054215,117.56222524067847,149.62021268153967,187.01834108513276,,282.9457612639528,274.5966863781682,302.2243395871919
11,1985-08-26 10:43:39+00:00,,,,,,,,,271.3501720672254,316.8673630323709
12,1985-10-29 10:42:54+00:00,286.62642270162877,257.57912345235763,229.31401032376246,228.09966501524895,266.81486558374536,320.5551876432126,,,,
13,1985-11-14 10:42:39+00:00,196.11447380755396,207.57832137162987,143.9844686889275,174.30877662251476,225.7927250434401,230.3016398020572,275.92530035192306,318.80811740356995,337.854801348155,326.4530488067792
14,1985-11-30 10:42:22+00:00,,,,,,,,,,
15,1986-02-18 10:40:43+00:00,132.1335810742011,117.67318617927786,,,133.10077479629473,171.83496101995723,199.27299047332576,237.6646102735641,268.9111334261868,
16,1986-03-22 10:40:03+00:00,163.34536798728325,152.68211940817744,114.65052908250402,123.89532930248208,148.80842166755704,184.4765049174331,218.77123653682037,273.3646643399441,300.5949363154268,320.2526214997862
17,1986-04-07 10:39:43+00:00,185.47532444515102,177.0968522765345,140.47390269975995,152.7243907978088,173.85544638396212,200.3308953566147,234.0672891539466,269.04745234724123,327.0701852187131,350.15162412674454
18,1986-07-12 10:36:58+00:00,202.78803461750036,195.7237629817735,156.08140192480226,182.70191675526507,183.2944384667361,199.63484040369858,233.6732923569187,281.52169953785403,315.3477817512186,347.6071220186991
19,1986-09-30 10:34:11+00:00,191.00431058782158,182.00656150180492,155.52982414114547,158.73056067343776,172.252251650418,187.887327472135,225.7051948436889,262.210892859227,302.93118184732873,328.77728318883317
20,1986-11-17 10:32:29+00:00,166.42881390698366,137.85956302799505,104.12336886038005,128.16373660092177,143.8486919622996,160.81551124677225,195.6623927555898,224.06300696040097,260.62169424721594,292.3748732894778
21,1986-12-03 10:32:33+00:00,225.7793325764827,203.1883453005696,164.87606597574018,191.19795519135204,213.34691906224572,242.91171841773482,272.873083516402,306.37083292326776,322.96115053424904,366.0745863413874
22,1987-01-20 10:33:58+00:00,163.92285636137984,159.43090864517828,141.45425451786926,180.20372268584964,193.87222846473094,202.16476609452639,207.66891122859732,230.4140350128169,309.06946552600886,309.6494098842951
23,1987-02-21 10:34:59+00:00,179.11877571010808,174.03244243731078,128.67752491213417,165.82204682843928,172.1636524817723,203.816003117845,213.88852556627745,234.03943258508454,294.7762992276441,298.35930294679684
24,1987-04-26 10:37:24+00:00,172.94434759095162,139.89658470735185,136.3883699147398,159.1926719521441,178.97251715009094,219.12934354291392,211.07867383557604,221.50248112012372,288.867467794293,301.8504119478952
25,1987-05-12 10:37:51+00:00,182.68404005265882,151.98872686682307,146.7980952701322,172.2160058298902,211.12870970602106,203.37735015329545,206.03126744377425,234.02991806108446,280.6743346036778,305.20147111797365
26,1987-05-28 10:38:16+00:00,217.8874575939362,189.1306738394333,170.6990356493778,196.88384408487886,259.7133118607886,233.61382607659402,232.43623039867592,270.9966070419335,310.2622451520284,333.8522908899998
27,1987-07-15 10:39:17+00:00,203.3950077562883,185.86502189716933,175.0209350609647,,,233.27796436180157,240.14285527052704,281.5442529718568,316.4443677466129,326.4172164907054
28,1987-07-31 10:39:43+00:00,195.43178612210872,172.45595298562017,170.61799546561133,185.1409334211283,245.9999357469008,240.47180904055358,239.37174705000822,276.86495698672337,314.6762394656464,319.43699570253943
29,1987-09-17 10:41:00+00:00,,,,,,,,,,
30,1987-11-04 10:41:57+00:00,,,,,194.07749791178472,245.76120757669284,,237.47648287665436,,303.37512725036515
31,1987-11-27 10:48:35+00:00,154.10578224165056,137.7253394279443,130.59242900187138,193.12816788903007,197.4432732644377,219.4605464826738,229.21098532992167,271.4369621008795,285.90212548383363,310.3680033902382
32,1987-12-29 10:49:05+00:00,153.5332431769895,,,,,187.2063718105732,183.67602329718838,222.4150091734652,255.13484780335375,272.4194281548346
33,1988-03-11 10:44:00+00:00,207.60742919134088,156.65390991486373,143.5044210848877,221.9747115603344,177.72218337028994,232.25422301269936,228.6362974346446,292.67687612505785,328.7229701196373,331.4335576965829
34,1988-03-27 10:44:09+00:00,,,,194.34794895692448,178.90639984536014,199.0935532952114,188.71478216564228,259.14530384657655,282.46656708731086,301.09619285255735
35,1988-04-28 10:44:18+00:00,,,,,,,,,,
36,1988-05-14 10:44:29+00:00,155.94990484610088,138.69664271638956,123.44429162319568,165.92598306870656,222.88432343795267,222.98401912992364,217.9155772428415,257.4144977407325,310.8349919990924,321.89917339475187
37,1988-09-19 10:44:49+00:00,195.1010130962014,194.9058353731262,151.42423864619855,222.14768339843957,227.10315569027327,243.8528262622493,278.3193347114267,289.72755577416456,343.93113770136017,377.02046945112625
38,1988-10-05 10:44:45+00:00,,,,,195.4115744731786,,,,,
39,1988-10-21 10:44:38+00:00,158.82741427419046,124.33750002314535,124.07553138082523,170.83325728816826,177.58295242954793,205.81986367567202,251.95242326592083,257.8427069425204,289.82546752306223,319.98640772372335
40,1988-11-22 10:44:43+00:00,190.52569991616303,143.67774878420195,148.61603020320337,181.70361659941258,202.9175173408836,231.39938161866797,258.28773522452775,292.85928235069713,327.31263306889764,347.5406750623532
41,1988-12-08 10:44:34+00:00,204.30365173688233,155.50314599331077,137.9174871086946,174.51572615143138,184.74800613920777,236.16524617553063,254.5640522882346,290.89644204194303,332.6767926612421,336.3380206272427
42,1989-05-01 10:42:54+00:00,,,,,,,,,,
43,1989-06-18 10:41:57+00:00,,,213.86230958916678,181.49337090002376,200.01860958770666,,,,,
44,1989-09-06 10:40:20+00:00,,189.69084850947428,192.5946696231385,,,,,,,
45,1989-09-22 10:39:50+00:00,182.54562922532847,191.22726861514397,166.8898931526889,179.78202921373727,183.29125065601136,215.86707150890425,235.01782157242422,291.9673928018494,308.4226873349783,324.7862307898332
46,1989-10-08 10:39:38+00:00,,,,,,,,,,
47,1989-11-09 10:38:36+00:00,179.38386780700677,176.1584727627476,127.6840385850486,142.74301524067033,173.74042473577475,196.73934196278293,202.04754683169153,239.54662905022127,294.7722989111704,325.2492690263683
48,1990-01-28 10:36:11+00:00,182.96530659130826,133.07943765293325,133.60519809756693,133.9859510586066,159.62452604049105,173.19200782220076,201.96272812144866,,,
49,1990-03-01 10:35:09+00:00,170.30291654637787,152.23188015509936,129.8766348523764,133.87735968923565,181.94943271625954,185.9840204092077,206.46035262616405,258.7043102033057,269.7663277473241,312.27749043667563
50,1990-03-17 10:34:37+00:00,222.85230233907578,162.6188953107324,155.7476052839512,185.57789620123495,204.12714179243986,199.78301384318218,207.73988540070275,268.60382540832046,341.13046158543693,322.5543484585604
51,1990-04-18 10:34:21+00:00,229.24212077988585,179.5208927561377,115.20098409137218,174.54902738902916,201.8836276548758,211.2824662657962,156.58764906738412,231.1793244050558,336.259070940667,339.2618461007287
52,1990-05-04 10:34:15+00:00,252.38601724166648,197.35466171518513,122.75258103398824,189.59448610046596,259.68927808919307,218.71790355456318,177.6549213768395,256.5465039806988,347.3748433542278,378.57707040275096
53,1990-06-05 10:34:18+00:00,,,,173.3049792433351,229.51856442585176,269.7278304563563,176.31999001017783,233.6391443369837,311.3536145053145,
54,1990-07-07 10:34:15+00:00,,213.43967284853858,134.6376202656791,,,270.8445534296853,175.58725125628607,241.88912993292433,335.46442319716675,390.9928791773867
55,1990-08-08 10:34:06+00:00,248.89993084560356,231.0762165176571,129.1241989332354,205.43115584142723,269.0318365718388,296.5142896421504,201.40137796868368,249.3171340271922,338.07640741489394,387.8649658907814
56,1990-09-09 10:33:56+00:00,,,,,,,,,,
57,1990-10-11 10:33:45+00:00,214.82804280804947,228.4890076223661,130.79143486811333,180.62533732274736,236.65411509271695,253.01086166353062,206.26231226407288,227.1415869752269,311.21118205363695,365.1565750186811
58,1990-11-12 10:33:38+00:00,159.36468438971113,177.64269929785337,94.94238201225187,119.76017091345986,188.516509174933,194.39811603617133,175.0036545291532,208.40235387161493,276.70225303947433,342.67535321207407
59,1990-11-28 10:33:23+00:00,187.02823913026128,171.6376227266136,102.00783538887342,139.16747902797,189.54326345020928,212.0514554274235,185.37911820272748,231.8380132186295,287.46655171973873,341.16700511959266
60,1991-04-05 10:35:47+00:00,173.18114765461632,155.9187410410138,128.84429324695543,158.5959532395139,185.63404334883836,183.1347938348805,198.70681286713676,237.87384438719675,282.74321370371524,332.225385717065
