,dates,FTAD_1,FTAD_2,FTAD_3,FTAD_4,FTAD_5,FTAD_6,FTAD_7,FTAD_8,FTAD_9,FTAD_10
0,1984-04-17 10:41:41+00:00,24.6036553219559,33.7213240630867,-17.0983483101478,-50.3958051418761,-9.27172475682335,,,,,
1,1984-05-03 10:41:43+00:00,,,-20.9817847314482,-51.6914679394221,-34.227580060878,,,,,
2,1984-07-06 10:43:04+00:00,21.8314443582391,45.1576693921691,-32.3388385707172,-49.3941234790275,-35.0547002378278,-26.1516596879313,17.5463259895755,74.177975468667,57.9690031543688,71.3318247537078
3,1984-07-22 10:43:28+00:00,20.0753248210647,,-41.4039975887638,-44.2052970332885,-35.8821054109454,-8.22842812979021,17.3955802708543,85.1892412026569,75.4896818055296,76.68584859459
4,1984-08-07 10:44:02+00:00,19.1482655905635,,-27.1995644774642,-47.7008587058772,-27.2510219270907,-2.12099674395491,18.5326108055184,88.8779825453296,65.3691935056089,83.6887062167709
5,1984-09-08 10:44:36+00:00,17.1979982326817,,-2.15118222863394,-44.0891685951511,-32.5534393646171,-0.918348606404753,22.8105038665681,81.8163286594654,70.959781303613,82.6348764079134
6,1984-09-24 10:44:38+00:00,15.7852618736672,,-1.46641015078095,-45.7308885279382,-34.4361682797619,0.155037044493483,23.0544481405637,88.429280302714,75.1934821758042,83.9911409862471
7,1984-10-10 10:44:36+00:00,25.7007068441847,,12.8013427198311,-40.9838701422869,-32.4181350149112,-1.03252300685468,22.2847283669886,92.1387894953993,,
8,1984-12-13 10:44:35+00:00,2.08714055950185,14.2125225913284,-21.7017842383214,-59.9596570369312,-55.4550329129664,-27.2501278613017,4.5989500110971,63.0599110666669,,
9,1984-12-29 10:44:44+00:00,,,,,,-24.3878531249898,16.1083761865411,76.4557375188557,57.7633212034442,69.8539723246486
10,1985-01-30 10:44:55+00:00,1.42959847718453,-7.49219019410797,-35.5994657593129,-62.8600103047365,-50.8796957080518,-41.2179575838178,13.22209666783,70.1081837991506,53.7535826818066,56.8518027388438
11,1985-05-22 10:44:38+00:00,59.4841435164432,,21.2364189263088,-12.1415145274908,-8.42070617055775,4.4303593259761,51.9133189263742,108.257157236118,,
12,1985-06-07 10:44:37+00:00,35.1341667243401,11.1921393542894,-10.9511441771368,-20.3345075261265,-19.286426661352,5.97837938182504,41.5601857587679,93.0547422572145,,
13,1985-07-09 10:44:29+00:00,40.0359927633136,0.993497408663361,-1.35797762376205,-23.1758586883742,-13.2743706266762,20.2840743733907,50.6202023739401,102.854974748916,69.8742928064853,76.5866185820014
14,1985-08-26 10:44:03+00:00,29.0331385296124,1.37430159841862,-20.0101316631967,-35.9998800586528,-24.1216740624419,-8.03660910291672,40.4950449645098,90.3610456729733,62.0249736403816,61.101404744653
15,1985-09-27 10:43:40+00:00,42.6215652588485,,-2.03685135664462,,,-3.2795939697152,42.2249958863538,90.6405771292197,54.3887051025232,64.3686345996535
16,1985-10-29 10:43:18+00:00,12.589968493062,12.7231233525547,-17.3687816731542,-43.9713678585251,-46.4649014198893,-23.5654523439029,20.8810481968103,68.2290712606627,39.0101510102068,48.1830490521267
17,1985-11-14 10:43:03+00:00,40.0454892021489,,,,,-5.88562979511508,39.3697641100506,100.417127952763,75.2310242126756,80.8260190292471
18,1986-01-17 10:41:51+00:00,7.43335927535663,-3.85550894138505,-17.8064258569305,-32.2188133708949,-27.6122519502288,,21.1816643490944,69.8267796987414,54.5839379102117,50.6042869606115
19,1986-03-22 10:40:27+00:00,-2.30725101839372,-11.815339827539,-24.7541299685551,-52.9240310709374,-52.4179755231665,-26.9713963309647,18.0251333936203,75.7094733025244,57.3350955715205,54.8473689845135
20,1986-10-16 10:34:04+00:00,-2.48746225146556,1.40851047470166,-29.4561680049528,-47.7671542391188,-44.1378538151004,-23.0568406527037,17.7965356422246,74.0385345433951,48.4159299658948,
21,1986-11-01 10:33:30+00:00,,6.55225181575354,-17.5108890243928,-43.773699468897,-33.8117518904167,-8.83670015006597,25.5561798091205,,52.6358737582764,61.7814136948671
22,1986-11-17 10:32:53+00:00,-3.1875099952497,-7.71666760646399,-35.1627927677886,-53.0670440629053,-49.1183266284137,-28.3253796832967,12.7130203634914,63.5030325860816,46.9645713529731,52.9430927187208
23,1986-12-03 10:32:57+00:00,15.2844269819862,8.345235051083,-18.6155241083604,,-36.580271518587,11.5402093466426,59.8741603024552,68.004432234157,56.7440306396397,62.6764687904038
24,1986-12-19 10:33:26+00:00,-4.37311380402583,-11.3198550930384,-42.8467181952191,-66.2346411091168,-69.5105578169426,-30.1553659977661,5.5963672492726,61.593621689031,49.6955941215852,52.8944380189477
25,1987-01-20 10:34:22+00:00,6.45698794625914,-4.475968180823,-26.4045703328632,-50.7236257332635,-48.2014502464219,-22.2799207344345,7.50474861327192,72.3502818890319,52.2211994290708,59.4038065735027
26,1987-04-10 10:37:18+00:00,6.01315837601608,-12.6899022323665,-26.9305819935886,-47.2321834173395,,-7.52546244259393,21.5191968083075,86.9930868275423,77.803565861335,68.7645180231702
27,1987-04-26 10:37:48+00:00,-5.59622655298063,-20.1249425228707,-41.319883950408,-50.7502654338512,,-25.9009983426219,18.3233872491353,66.450576972839,55.9964289252312,55.0637564893168
28,1987-05-28 10:38:40+00:00,31.2966929268299,21.0688676833833,-9.25334255187126,-33.1264149645241,-35.023042431971,-1.17757096585975,47.0205820730338,,89.8913364548664,74.797732250727
29,1987-06-13 10:39:02+00:00,46.971782578304,,,,,,,,,
