,dates,TROI_1,TROI_2,TROI_3,TROI_4,TROI_5,TROI_6,TROI_7,TROI_8,TROI_9,TROI_10,TROI_11,TROI_12,TROI_13,TROI_14,TROI_15,TROI_16,TROI_17,TROI_18,TROI_20,TROI_21,TROI_22,TROI_23
0,1984-04-17 10:41:41+00:00,,,149.10240735542806,,,,,,,165.16497759531637,131.68592925515298,66.96727036005922,133.09690198977597,142.02723663361905,,140.031921965687,98.00302570227196,,121.26233313812554,155.803100814949,135.22747250983713,135.89724111410018
1,1984-05-03 10:41:43+00:00,,,,,193.6705169399751,226.71167060369268,,,,170.52517890355168,131.41984321555697,74.92345784938794,133.8311090751207,147.5580456149612,,139.79150842243195,105.19504493697545,,120.33997841902769,152.93878330829256,137.26848975644538,129.25676805644352
2,1984-07-06 10:43:04+00:00,,,155.97533761801657,211.7806873875195,197.42927552623996,219.10179928234007,244.4860556163802,,,170.39082254514432,126.2530340236263,75.9573930472655,124.63907812498755,143.43194325241151,,136.1369536010021,102.01479666856292,118.04580316072281,119.91954570686892,146.3743329234096,133.76043379187774,138.93273938310608
3,1984-07-22 10:43:28+00:00,,,,,,,,,,,,,,,,,,,121.47963459320499,141.12008836995972,130.76047859160082,129.64472096882093
4,1984-08-07 10:44:02+00:00,,,,,,,,,,,,,,,,,,119.48462347704745,116.47550668527484,147.18742187812634,133.5855894031539,128.43520429622745
5,1984-09-08 10:44:36+00:00,,,,,,,,,,,,,,,,,,,,,,
6,1984-09-24 10:44:38+00:00,,,160.84375526386702,228.13464518218836,203.68488798400963,228.3744872249128,255.1521232647303,,,174.78941127964976,132.46211209699135,78.18733647738416,130.57968306000848,151.94787130579664,,,,,,153.70291947883,140.21718459656205,132.74353489474055
7,1984-12-29 10:44:44+00:00,,,159.6381049144156,223.40313537908938,198.45165152648408,212.79581005304328,246.97044663944476,,,160.31701187333795,133.84296832663762,63.902350441318916,134.58364155045706,131.362291351833,,,92.59336693914148,116.96351404768401,109.57542591406272,135.27287628011936,122.44592454770225,131.89901099996024
8,1985-01-30 10:44:55+00:00,,,158.74817669631895,220.97813647591045,193.8243485890078,216.8408856245764,247.10886833842957,,,153.13572260824301,119.06162433099851,46.81628490378749,131.61910616552026,120.5780952416201,,114.99371499895267,72.04127163710893,93.47251434595407,98.07148944033537,126.23467951652759,108.64340037719256,108.47004369806038
9,1985-05-22 10:44:38+00:00,,,,,,,,,,,,,131.5106612933104,150.95289787611028,,,94.7823041746316,121.22558440589505,,154.7265712691793,142.27057039897184,139.6026696750201
10,1985-06-07 10:44:37+00:00,,,,,,,,,,176.66056617437226,127.53384538423062,71.01943779126314,118.84511563861228,143.22230066859447,,141.79014600377764,92.18353920626805,105.55365002118023,117.47279485933998,143.4167007800395,133.0683552648747,131.86151432960094
11,1985-07-09 10:44:29+00:00,,,166.03116894760825,230.29763922847684,207.64121634387948,226.46872090719944,,,,184.1534317272989,134.812051691506,80.54921123921764,131.5557739468777,147.60980570305765,,142.18230882390532,99.64878636425692,115.09752900184114,121.06268392100364,150.09969617477105,132.56264126724534,134.8802518511037
12,1985-08-26 10:44:03+00:00,,,,,,,,,,,,,,,,,90.16686420177524,103.62623790227327,120.30455003788347,139.81745002252566,127.95366813062464,130.52944770857692
13,1985-09-27 10:43:40+00:00,,,,,,,,,,,,,,,,,92.30876981843895,116.3589300212377,117.0809198880627,142.95496387225913,130.6774475756268,129.89346876239614
14,1985-10-29 10:43:18+00:00,,,,,,,,259.33724776833265,,159.19182701824323,110.38639836395578,49.528686985751364,,,,129.84675647194834,73.67782802024773,91.02266026462726,98.82441591313888,119.86666957831294,111.13732582166571,112.68755578546806
15,1985-11-14 10:43:03+00:00,,,167.05357908626644,239.47876914678463,219.76103123035523,237.0408893669621,257.46287289218446,,,179.72295573582664,138.16730651429492,72.60892544468366,134.86050369306406,152.08889476149864,,143.6407329188708,99.05830772726247,,,150.54856196021476,139.91133324948146,144.24088018344867
16,1986-02-02 10:41:30+00:00,,,159.4740049621096,227.7598588759982,206.20227474046035,225.5160435965972,235.54703480921472,,,167.27701156294367,103.40379470745464,51.51387204708318,104.29494345825765,130.5993523886143,,129.4554164188622,79.02252647553715,112.01091485598232,108.95420048966376,135.12571966600683,116.71702946993832,112.95377244134323
17,1986-02-18 10:41:07+00:00,,,,,,211.21636149627633,236.57389188898088,,,142.09881037796285,106.19883467918444,34.23893529720351,100.67809476892427,109.15916772193387,148.60373035225027,106.61975010826853,57.87739566087823,86.34559599511846,,,,
18,1986-04-07 10:40:07+00:00,,,163.1563251052921,,,,256.26009668944926,,,,121.44527814749551,66.70498081445567,126.1097450494098,140.6435069580548,,136.79754034139495,84.44070756601705,113.05796289857363,98.44450657591591,121.78817478753243,111.23392529809867,119.56395717441913
19,1986-05-25 10:38:54+00:00,,,169.72925247265366,242.86145463390437,,,,,,,,,,,,,,119.75777679559529,117.16645766830008,146.30966449842543,136.60965456617316,143.0929160305011
20,1986-10-16 10:34:04+00:00,,,,,,,,,,,,,121.04218525607241,139.9156610874732,,128.66970289372117,75.68336794028029,,,,,
21,1986-11-01 10:33:30+00:00,,,165.94793178285568,233.5477436133267,215.05246179313588,234.07230729057386,241.5662368258703,,,168.372715997441,119.04638556966782,72.96313591197503,123.73008085173754,150.47521720764286,,142.21574410372,98.49918936074576,118.22565323215387,116.09399815456797,143.57352619079046,133.48662700334202,126.9871776711918
22,1986-11-17 10:32:53+00:00,,,176.6580663727613,238.48341402399114,222.1824263287619,232.91974611144101,253.00520534631366,,,167.7130080285796,130.321734160843,73.92094397463734,133.90338071185022,139.2551568291444,,131.0784939229834,91.43305916248593,111.45316340588187,112.2188766553253,134.3372684875862,126.77504362075553,122.27309538345938
23,1986-12-03 10:32:57+00:00,258.1003092284734,,161.03329250492357,231.06652282820724,214.26131288384806,226.21808632985096,245.13412177500473,,,173.4899681766848,122.89321436762927,72.08341855587173,133.40082906270143,150.11031095666405,,,92.33392295630883,117.71092278968862,113.4955343124182,139.57646795050545,134.32488132071953,130.42765560940936
24,1987-01-20 10:34:22+00:00,,,174.45738030072116,238.48032779381015,216.79597488264397,226.0446565918246,250.12473802581258,,,172.5285345398715,115.76124026462516,65.54625760042822,142.1390311581911,143.13295909773814,,140.10476731109753,91.68031280307679,121.34687441975892,114.90416813818858,137.8460351520579,128.87588951838367,122.48542680609462
25,1987-04-10 10:37:18+00:00,,,,,,,,,,159.60625949592963,112.66929761142661,66.97079936203224,116.7939611125611,,,134.56937711760338,87.77336445989302,109.36925576778572,107.8437069018941,,,128.98030440414436
26,1987-04-26 10:37:48+00:00,,,,,,,,,,,,,121.07549168138961,127.92124606203095,,121.33062470481087,81.73449246776488,,,,,
27,1987-05-12 10:38:15+00:00,,,,,,,,,,159.7484506688861,117.84709081080459,,,,,,,,,,119.89340927389529,124.98875093564348
28,1987-05-28 10:38:40+00:00,,,174.6389043826496,244.24419210374293,230.31515715155507,237.75502942742264,260.80921270555996,,,,,73.82889373780422,139.43567958649197,,,,96.28757366024124,121.92536630670091,112.50068404325302,144.79992912244344,134.5092712149446,139.2636346565727
29,1987-06-13 10:39:02+00:00,,,,,,,,,,,,,135.24623569695964,155.560054042178,,141.13239984587352,98.50317405906023,120.28949183187505,118.20747197214686,146.08289946677928,132.5029097760089,141.04159983429705
30,1987-06-29 10:39:23+00:00,,,,253.0900317705063,230.43202489338296,229.39336279316387,253.02218441590674,,,167.5549091114673,,,,,,,,,,,126.10802014647561,137.37039095931146
31,1987-07-31 10:40:07+00:00,,,189.03879622224707,249.64926895866594,235.13955731563655,244.53685871559827,258.8739243565349,,,187.57910854846182,127.0859226262638,87.23890720601906,138.90995652273944,160.69719324417102,,,,,124.7864729413749,154.14122830400106,134.85894194423068,151.66371742820857
32,1987-08-16 10:40:35+00:00,,,,,,,,,,,,,,,,,,,,132.63616402567052,123.37728586530376,128.5267978954833
33,1987-09-17 10:41:24+00:00,,,,,,,,,,,,,,,,,,,,,118.1373891779266,133.0385563472663
34,1987-10-03 10:41:45+00:00,,,157.33418759440417,229.81069904024176,,,,,,,,,,,,,,,,,,
35,1987-12-22 10:43:09+00:00,,,180.25795909216828,248.78881283728776,220.64012257392213,234.33888470965005,252.15897877605227,,,175.44637987032712,112.53158980308953,,,,,,,,,,,
36,1988-02-24 10:44:15+00:00,,,159.8242228036251,236.32804209222417,221.2139064296349,242.21958265553192,244.63325839017784,,,167.46885889478207,112.33417593218672,50.46168263977628,122.67637087498943,133.84801057861756,,,,,,,,
37,1988-03-11 10:44:24+00:00,,,181.59967147481194,247.96794855794536,240.3409850671332,247.14710099000632,261.8375799210253,,,,132.26011331547141,77.67893917033223,138.88781249404875,142.03616995686963,,128.65020529921736,94.64857559775642,116.97197553037938,114.59651144887007,147.71252487281515,131.42060653656853,142.39482732414
38,1988-04-28 10:44:41+00:00,,,,,,,,,,,,,,,,,,,,,129.58450473318453,131.96943104420495
39,1988-05-14 10:44:53+00:00,,,,,227.3449828535608,235.77466676551245,252.5514767687297,,,172.29425881945082,115.22305316466523,74.07074588877668,133.4525235770888,152.6035464395299,,137.6610098715119,96.25046788769843,,117.64525984598097,151.9733657753869,135.15599655692435,139.27839998900453
40,1988-08-02 10:45:15+00:00,,,171.82866921315662,251.05665712570146,228.65282273223718,236.8897164132041,245.4126554390409,,,186.7053677161722,119.8445412934007,66.73884737947094,136.19470569002735,153.9800184779628,,139.72905391449433,103.7216706735959,,122.48384097040693,156.25827155282573,139.00460348053667,139.51199135576994
41,1988-08-18 10:45:15+00:00,,,177.17909617252775,257.47499615512265,235.65566449906038,242.50482224379687,251.04870604837043,,,,120.99737125407646,,,,,,,,,157.92469580061243,145.59095165447906,145.82245698879836
42,1988-09-03 10:45:18+00:00,,,179.47317952349886,255.40345980167234,246.3132673763942,244.88942876216134,256.84076082763056,,,,114.78404150930325,64.10842815547812,126.07343278443008,151.97197064703596,,142.63847838122723,104.18330930174167,,,155.66491117674352,141.80739007137967,148.51226309628404
43,1988-09-19 10:45:13+00:00,,,,,,,,,,,,,,,,,,,,154.88656611043183,151.59598409264999,148.5130198829155
44,1988-10-05 10:45:09+00:00,,,,,,,,,,,,,,,,,,,,,138.09354979508876,141.79277408291244
45,1988-10-21 10:45:02+00:00,,,166.39859504908634,246.44455802991826,233.6849142656878,237.28108219178554,246.0876423197194,,,182.56459056843744,108.68523494918765,56.02386170276044,124.23425602543193,145.59297629100257,,119.50199855121268,86.60295540864873,112.03561293418356,115.9933408947717,138.82060120306357,127.6581092672183,130.76119726322213
46,1988-11-22 10:45:07+00:00,,,168.43948903227368,239.4148572397628,220.29349133917657,223.91981893198607,245.29331651907904,,,172.66993578925383,102.30801967999912,48.42759987933232,123.68662150561272,129.38055418472533,152.41685314627097,107.84564853399718,62.53980070967475,90.6359708130802,92.19678205017075,128.03261312304159,103.49916322464239,97.14420366793865
47,1988-12-08 10:44:57+00:00,,,181.7480047872982,259.94475217964975,233.97434195517087,248.1277477033887,257.6243457826649,,,,127.7207849091542,63.48180383588709,153.81448402726858,145.7090996593381,,123.99933019104661,92.85100322985728,116.39964561827354,108.27440172634495,139.15719060637565,129.12901260656847,128.96796169759466
48,1989-05-01 10:43:18+00:00,,,191.0449929712438,,,,255.34963336389364,,,182.89046829343403,,,,,,,82.13392046575085,115.15356958945804,104.29111286805343,135.0617289697348,127.26388735409893,121.85834426893722
49,1989-05-17 10:42:58+00:00,,,,,,,,,,,,,,,,,91.42051784726596,116.25231904134571,119.62284939713713,144.7179968973078,135.50726540944447,137.19402464015278
50,1989-08-05 10:41:27+00:00,,,,,,,,,,,,,,,,,,,,,,
51,1989-08-21 10:41:05+00:00,,,,270.1706700479513,249.5962929705846,246.74499547862277,254.74989325319365,,,,123.16411610046413,67.5737422490576,146.00398748675374,153.3569461104135,,124.34225381058144,91.94333453141152,113.06042651270985,119.68716244773879,148.13726936441762,138.92600924245068,141.41320867151896
52,1989-09-06 10:40:44+00:00,,,182.6060168383099,263.4222037142599,242.46270446363073,241.98586333673296,258.1632362534489,,,,128.74606038886589,72.50125668314817,154.3437558816567,158.33608942573682,,129.41353679388737,92.7350939291582,116.14923176514911,119.4682269008739,145.47665127472607,138.40942317446488,139.1814794053973
53,1989-09-22 10:40:13+00:00,,,183.07963773369255,260.57085537106866,238.05635855608364,239.5784131608803,255.82661257268566,,,,119.50275931538366,64.95636062701564,151.7210941036409,149.71953645595153,,131.0346823065192,80.50597047624944,112.58002026246743,111.4606955834835,144.11799235898548,135.9091266852481,126.75215878355422
54,1989-10-08 10:40:02+00:00,,,,,,,,,,,,,,,,,,,109.35437878416698,144.3381926466317,135.20650009186647,133.08435456615376
55,1989-11-09 10:38:59+00:00,,,180.14848905036115,249.39924815959253,234.50053349839206,230.58072323614556,250.44377656325207,,,176.31348118983536,105.3859598711117,54.02890646277268,144.13896384272874,147.00243016335804,,126.00669620883572,76.95368247782017,104.80119038081699,110.15400405296299,135.74208522746375,134.2334657643174,123.65352506576532
56,1990-01-28 10:36:35+00:00,,,184.78091849840803,270.84897636051255,254.8543368581634,253.71853821332707,257.24712276836425,,,,119.5340989183308,63.35206393531039,130.91307290270242,153.67313997776301,,138.6299107932864,108.98686774261287,113.304239829027,113.76600375342089,150.0068978697637,132.27985481573168,128.2029671017032
