,dates,BARR_1,BARR_2,BARR_3,BARR_4,BARR_5,BARR_6,BARR_7,BARR_8,BARR_9,BARR_10
0,1984-04-17 10:41:17+00:00,333.7719054730153,331.0425999605063,329.9782003307259,248.35029021162399,234.48023659325685,237.1499124641262,174.52236192814883,187.13442397885643,190.04383513401342,168.1042508880949
1,1984-05-03 10:41:19+00:00,307.30505858805134,308.67793268192315,287.7059143159562,233.4362940973742,223.62196819423832,204.32399832374995,177.95897177745476,182.78076750613107,188.15452681393526,166.03991208934133
2,1984-05-10 10:47:45+00:00,,,,,,,,,,
3,1984-07-06 10:42:40+00:00,296.259412419114,311.3084446410096,288.60916138285506,263.0123568831183,,,174.38540853848602,187.54145531048022,175.23423683793658,168.76050667763946
4,1984-07-22 10:43:04+00:00,300.3583959785934,337.9841026003256,294.95869513034586,261.60606313288554,207.69135132488748,218.87583176780362,,,,
5,1984-09-08 10:44:12+00:00,,,294.5974715905862,273.90676165519335,,,202.7957487847201,187.34727324326596,188.34984519382698,
6,1984-09-24 10:44:14+00:00,301.8638893507283,320.26388546912284,287.97817447909557,254.54566894568342,203.4515843049721,217.4450973402581,195.27693208111128,178.38802090711405,180.27413028657384,163.18470473100288
7,1984-11-27 10:44:01+00:00,304.17526944027844,289.42454765280115,284.54721393780113,232.77077480320915,246.06088469193435,208.1855865260089,212.52686892378858,187.9471915699935,177.390227142117,176.739314587926
8,1984-12-29 10:44:20+00:00,280.05898486475513,292.891014477819,235.6709018969404,,176.6088779538753,161.7015499566643,125.75266723065103,162.72288531132062,155.80317864192958,158.12259062998876
9,1985-01-30 10:44:31+00:00,283.769679153809,261.97516012389605,220.3832933898222,,178.60797817395618,167.7277387274236,144.30289749714373,131.61977148312502,145.92144678152857,146.47195655143767
10,1985-05-22 10:44:14+00:00,,,,,,,,,,
11,1985-08-10 10:43:49+00:00,274.7804063087061,280.8261254731476,265.6691884270722,230.84141954572289,251.56270392672795,188.5941613591541,172.49688040630275,165.85729365587545,167.28158972718262,187.8433684843464
12,1985-08-26 10:43:39+00:00,,,,,266.62543568373485,180.50780566601463,202.5701363072571,170.40562322214572,177.1680331941921,203.08517855295509
13,1985-10-29 10:42:54+00:00,,,341.09297575149077,344.0184353303953,336.1120046659404,,,,,268.8682121408641
14,1985-11-14 10:42:39+00:00,312.76509104750164,304.51130114541184,307.9123754504657,248.05645007426455,255.92460007795492,211.27817056948004,220.3922576461861,189.33825087593652,184.8711203462919,201.86523065528496
15,1986-02-18 10:40:43+00:00,257.19941289663495,229.6104384196456,237.65379923374633,,185.00482399891408,171.62313652196264,141.1935909478517,132.90778201971597,146.48517023610242,146.4377745075561
16,1986-03-22 10:40:03+00:00,285.20388122902233,255.96152889811935,262.543040482668,234.71361815952991,208.7525530115552,196.914412507703,196.70596572698093,158.16779959891892,171.91653346725803,166.47914261214117
17,1986-04-07 10:39:43+00:00,299.2556394222642,285.4381033673417,271.27858859041953,244.9817349441319,200.20966298478598,213.63893659890425,209.3059786669375,201.7579841022515,185.81352474603517,184.7576330863366
18,1986-07-12 10:36:58+00:00,327.15460786310973,288.5974164671254,281.0529166705782,288.63606106079243,261.15049391087814,225.57474887037114,203.60149136898298,203.14771901830466,206.92717486769328,212.6659629727146
19,1986-09-30 10:34:11+00:00,308.53787301430975,273.3559883996845,271.2175189400529,267.1767730321584,237.1994591310377,238.99252697739792,210.7059628096006,182.14184454621397,193.87747335191582,204.59658370845642
20,1986-11-17 10:32:29+00:00,267.7273108500293,229.11263129503521,229.8788287313339,225.98991423347888,221.89296526251889,220.10329253717043,150.76355552092147,148.4268260995526,157.33409669849277,172.14158249236363
21,1986-12-03 10:32:33+00:00,326.83721197020435,308.0733845934815,267.80765226728516,262.7353389920846,266.6941809077283,,,214.30582851834257,208.36570972053494,233.89940037699003
