,dates,TRAT_1,TRAT_2,TRAT_3,TRAT_4,TRAT_5,TRAT_6,TRAT_7,TRAT_8,TRAT_9,TRAT_10
0,1984-04-17 10:41:41+00:00,149.102407355428,,,,,,,165.164977595316,131.685929255152,66.9672703600592
1,1984-05-03 10:41:43+00:00,,,193.670516939975,226.711670603692,,,,170.525178903551,131.419843215556,74.9234578493879
2,1984-07-06 10:43:04+00:00,155.975337618016,211.780687387519,197.429275526239,219.10179928234,244.48605561638,,,170.390822545144,126.253034023626,75.9573930472655
3,1984-07-22 10:43:28+00:00,,,,,,,,,,
4,1984-08-07 10:44:02+00:00,,,,,,,,,,
5,1984-09-08 10:44:36+00:00,,,,,,,,,,
6,1984-09-24 10:44:38+00:00,160.843755263867,228.134645182188,203.684887984009,228.374487224912,255.15212326473,,,174.789411279649,132.462112096991,78.1873364773841
7,1984-12-29 10:44:44+00:00,159.638104914415,223.403135379089,198.451651526484,212.795810053043,246.970446639444,,,160.317011873337,133.842968326637,63.9023504413189
8,1985-01-30 10:44:55+00:00,158.748176696318,220.97813647591,193.824348589007,216.840885624576,247.108868338429,,,153.135722608243,119.061624330998,46.8162849037874
9,1985-05-22 10:44:38+00:00,,,,,,,,,,
10,1985-06-07 10:44:37+00:00,,,,,,,,176.660566174372,127.53384538423,71.0194377912631
11,1985-07-09 10:44:29+00:00,166.031168947608,230.297639228476,207.641216343879,226.468720907199,,,,184.153431727298,134.812051691506,80.5492112392176
12,1985-08-26 10:44:03+00:00,,,,,,,,,,
13,1985-09-27 10:43:40+00:00,,,,,,,,,,
14,1985-10-29 10:43:18+00:00,,,,,,259.337247768332,,159.191827018243,110.386398363955,49.5286869857513
15,1985-11-14 10:43:03+00:00,167.053579086266,239.478769146784,219.761031230355,237.040889366962,257.462872892184,,,179.722955735826,138.167306514294,72.6089254446836
16,1986-02-02 10:41:30+00:00,159.474004962109,227.759858875998,206.20227474046,225.516043596597,235.547034809214,,,167.277011562943,103.403794707454,51.5138720470831
17,1986-02-18 10:41:07+00:00,,,,211.216361496276,236.57389188898,,,142.098810377962,106.198834679184,34.2389352972035
18,1986-04-07 10:40:07+00:00,163.156325105292,,,,256.260096689449,,,,121.445278147495,66.7049808144556
19,1986-05-25 10:38:54+00:00,169.729252472653,242.861454633904,,,,,,,,
20,1986-10-16 10:34:04+00:00,,,,,,,,,,
21,1986-11-01 10:33:30+00:00,165.947931782855,233.547743613326,215.052461793135,234.072307290573,241.56623682587,,,168.372715997441,119.046385569667,72.963135911975
22,1986-11-17 10:32:53+00:00,176.658066372761,238.483414023991,222.182426328761,232.919746111441,253.005205346313,,,167.713008028579,130.321734160843,73.9209439746373
