,dates,LABI_1,LABI_2,LABI_3,LABI_4,LABI_5,LABI_6,LABI_7,LABI_8,LABI_9,LABI_10
0,1984-04-17 10:41:41+00:00,255.95667621096396,299.5291180655098,252.81261995402258,229.40529313224403,244.60437969017167,260.697686475192,318.2402809885665,326.8375873794326,310.0327813506622,347.58151264966386
1,1984-07-06 10:43:04+00:00,,,,,,,,,306.4647668150622,345.9886410495041
2,1984-07-22 10:43:28+00:00,252.52594299403395,301.67616480627396,255.83905354792205,238.4106490121559,246.85985058385003,261.48577054909686,314.0099653814045,323.10891999861997,327.2258086764036,355.405287518011
3,1984-08-07 10:44:02+00:00,250.69360471310665,300.271914702139,253.90314602998325,232.54129040782368,247.74329884847822,263.5888664628818,315.58069057534647,322.72268770340264,322.83844745621093,359.31418704500555
4,1984-09-08 10:44:36+00:00,,,263.0080470184366,231.0236184399523,249.50361059226887,263.13040838392953,317.92694285117,317.48931415702924,323.40240871114327,348.8097410658726
5,1984-09-24 10:44:38+00:00,250.77527707787522,304.44682933368165,259.1932535192272,240.7742843747512,252.11661888821504,267.2386081862777,323.0102756913338,318.6276120055744,328.6111406275073,354.2451103330197
6,1984-10-10 10:44:36+00:00,,,,,241.19500893999736,256.85591656437805,,,301.0604881194039,345.7093300625826
7,1984-12-29 10:44:44+00:00,240.94464270018798,288.5961869784745,,,,243.29065000973418,,,,424.7522655959981
8,1985-01-30 10:44:55+00:00,220.5121326077486,256.411618518368,211.9210433540992,169.78709380194059,178.20929625269588,228.27211429004376,277.4114787797773,276.04395493528955,272.8600330024525,322.15449455656324
9,1985-05-22 10:44:38+00:00,257.28166597875685,301.5339172913953,264.00694867737127,242.0748178733945,249.22671787555282,266.3535592569396,309.7848233228192,331.3575313741595,315.6743118871964,361.49289472890155
10,1985-07-09 10:44:29+00:00,255.63305926489969,303.5663090674184,263.34304020998866,240.5441744633962,,,313.42019738552483,334.53393623039614,317.2997187793552,361.7819972253167
11,1985-08-26 10:44:03+00:00,,274.7432990877637,253.4211636829985,234.73935209092824,237.3204615039461,248.28312082206548,298.530064598585,311.42572884650014,300.1704368786012,344.144874777822
12,1985-09-27 10:43:40+00:00,,282.2391076816416,251.27483782622738,230.29655506620466,229.25812736380925,244.83309357883417,287.7280310424477,293.8039928466855,291.9509288749598,335.0913830120038
13,1985-10-29 10:43:18+00:00,221.1875641997242,274.9262949508849,230.40416645643816,216.92927878150638,,230.65628634545232,292.46036705520436,305.8710655751862,297.6346363770392,325.68210235177895
14,1985-11-14 10:43:03+00:00,252.79758415465002,301.5966962254752,256.8296607461412,241.5998582110597,249.67448378525688,266.2622180150079,315.15805630999284,330.2941970377983,304.36088159771646,347.24726509231147
15,1986-01-17 10:41:51+00:00,224.71356831333077,282.49711790518234,238.7016390150439,189.15107232820247,207.73095636811013,246.87984664254074,288.90032331815127,296.05975731856785,274.0492975255508,333.8148626169991
16,1986-02-18 10:41:07+00:00,,,170.572082561118,151.6520055005111,170.81228027427352,,,273.29720852451817,269.56918731213125,284.67418210477194
17,1986-03-22 10:40:27+00:00,,263.82799154042954,,,,,,,,
18,1986-10-16 10:34:04+00:00,234.1153710930779,275.5234184608814,227.60432326167472,193.03250045163085,201.6397888014023,232.79224549380464,284.07080150857087,302.0701573333768,291.7500173651986,333.6259367665679
19,1986-11-01 10:33:30+00:00,241.68801360669835,284.4364615922974,249.08776472856593,201.36792772413355,227.04868760863508,245.82995218709553,290.9953446916815,326.5973845863076,303.8552564107007,340.00699620955294
20,1986-11-17 10:32:53+00:00,,235.26178760257312,211.97994835836604,161.89548111128124,171.73517368264484,211.0792476102408,263.82953886023597,301.9119411884657,310.97711066933573,301.07111210075544
21,1986-12-03 10:32:57+00:00,248.03783216122957,285.8180404697801,244.35051567972295,214.24340877030724,236.51706866700135,248.7540595140887,309.6243435385496,334.2898793480184,300.1375447191199,335.04156033907054
22,1987-01-20 10:34:22+00:00,236.88615381514077,275.71953383181835,232.1341755294199,183.41706729769095,178.68915083915215,253.93543031798876,310.9219961167995,322.78441530063645,295.4963344677519,336.54110642024176
23,1987-04-10 10:37:18+00:00,236.11457876384938,281.71918274597965,237.1153051572236,224.95440476487994,229.99389956671166,254.22797158658196,308.55584925846006,318.4664690135622,295.4486225134242,346.2452987650252
24,1987-04-26 10:37:48+00:00,220.9247033648216,261.52409165900747,232.5186387125999,201.669968519554,216.0786490398965,238.1769339836833,287.42578865308246,289.28756506641855,279.34451353607517,328.5447688587068
25,1987-05-12 10:38:15+00:00,,,,,,257.264734260916,306.849289834278,288.0998135757825,,377.7460427486474
26,1987-05-28 10:38:40+00:00,,,,231.52058041535207,237.4634686450691,265.2318976073982,311.1820466316211,324.39082860498024,303.62279622978895,358.62157636652523
27,1987-06-13 10:39:02+00:00,235.80934709523052,281.8768244183326,247.5092204938125,233.57339508987462,238.02672041914076,261.49866608759794,311.16487015372263,329.4618758005676,308.7252490229693,362.45449002222836
28,1987-06-29 10:39:23+00:00,,,,218.85831267852518,,,,321.54796878797856,,
29,1987-07-15 10:39:41+00:00,243.1292494130728,287.9557778389717,258.9400143680849,237.8072821997136,244.47774843230533,264.20638805984015,315.6406934388363,340.01723915847504,325.10521180073425,370.4194748183978
30,1987-07-31 10:40:07+00:00,242.6625700287037,286.18518010756827,256.99851981519606,240.2625555011652,250.11658135505198,266.2485805408759,319.29500847255895,336.4082398614192,331.1348240959376,364.90952691323605
