,dates,TORR_1,TORR_2,TORR_3,TORR_4,TORR_5,TORR_6,TORR_7,TORR_8,TORR_9,TORR_10
0,1984-04-10 10:35:54+00:00,28.19985200589219,27.857812194846176,21.659705080332493,68.56753691772983,155.42403367817406,167.28836639268096,201.86114994424733,365.59622863855697,264.5840205635635,191.36811157702488
1,1984-04-17 10:42:05+00:00,108.20542499547032,67.90940402858382,63.46464568562159,108.0328648044915,196.23076569538424,208.80839614816202,240.8015815276573,410.7206957622751,279.35838063852145,229.43900415615047
2,1984-05-12 10:36:15+00:00,23.90594976076329,21.591705973654953,8.765709865071644,59.761127369840665,156.5638925780255,174.60909939340434,189.6180254566788,366.51398233628277,278.12357458368894,185.2795906571933
3,1984-05-28 10:36:41+00:00,62.98323627760136,58.327694873530014,51.16438405929475,103.88679360260382,185.7427244059918,195.76113975963295,231.557481158644,393.618781925726,295.80966864951597,213.15004187598214
4,1984-06-13 10:37:00+00:00,77.23430007128042,43.599557855005315,45.16956123634657,91.30582522002214,178.54740992212967,194.6333334496146,225.54808072618172,390.15141940285946,274.4711323418056,215.0732257543519
5,1984-07-06 10:43:28+00:00,53.21167236088728,42.34210187516462,36.24199036858905,92.57733796268512,173.4237349872261,193.8471345347138,219.56154106716875,374.88033761754974,291.13060130914073,215.8892909493626
6,1984-07-15 10:37:26+00:00,130.05373328839488,62.216857561073354,56.64264594574631,106.29351534290979,185.16063752939363,203.14369366437694,229.76825490194534,398.3122662819995,307.6079462833768,228.30971751977572
7,1984-07-22 10:43:52+00:00,72.03774454972748,57.088864183031255,60.2386323042358,81.12591407792358,,210.35435759920685,222.79475323150174,388.0021089105316,612.8533692643166,
8,1984-07-31 10:38:00+00:00,130.974700915601,65.21686328732399,62.87871789143017,108.75705755276795,183.41916298275333,212.46172108540986,236.88837194137238,412.36902103654955,308.2430467328429,238.01524095362942
9,1984-08-07 10:44:25+00:00,37.84917679814854,20.10853054326376,10.78848689318922,68.15247268438975,140.41797633347056,164.16530723558657,186.6004662495646,354.3750123776485,238.89135214006552,187.1813299738871
10,1984-09-01 10:38:47+00:00,94.16296893282941,59.990649499295024,53.817273429976,103.35548121932217,175.0787298375804,203.7840856817536,216.88950550225405,395.65201995861855,286.58338730219646,227.6903457501348
11,1984-09-08 10:45:00+00:00,85.61570692891077,55.05969659936744,46.269491430212966,97.54111846819977,170.67935170795897,199.73977563248977,212.89182823437545,391.61930060877296,285.0100891292393,228.8938113555877
