,dates,MCCO_1,MCCO_2,MCCO_3,MCCO_4,MCCO_5,MCCO_6,MCCO_7,MCCO_8,MCCO_9,MCCO_10
0,1984-04-17 10:41:41+00:00,150.28247114904622,152.8132805779008,174.55653237349128,201.9426120309168,219.33396460963968,260.46425531823047,303.6805032416298,294.97805634517175,299.6214523187839,320.23506791787037
1,1984-07-06 10:43:04+00:00,146.96143413690012,149.21471420576,169.81251797337757,193.1646290540065,210.32280046744006,254.4785461465544,304.41698610195846,299.77962125495475,300.86705614272296,309.43790833001475
2,1984-07-22 10:43:28+00:00,139.49078092735863,142.9147205060483,164.0199858739516,194.0844053072856,208.36114143589361,250.1773467141973,298.66914273418035,292.1207906300066,294.59865317121046,309.1314889675614
3,1984-08-07 10:44:02+00:00,149.870063880354,150.89145106085726,172.67662089141203,198.79720114573846,208.32080200168048,254.0874283216291,303.9420228521735,298.65089524891715,301.6601617355425,309.8312235784084
4,1984-09-24 10:44:38+00:00,152.07658386790635,141.16856327880458,179.28464156900935,208.2550146309551,222.1063878037046,263.6336660195925,307.6054785145607,302.40340019141,303.29853716546813,319.1690390012907
5,1984-12-13 10:44:35+00:00,133.3704803251019,134.70864496891454,163.52683989780422,198.99096386213762,213.04027517604922,255.70411925568607,301.678838010461,298.34278331382825,296.8894544134393,306.24291742808225
6,1984-12-29 10:44:44+00:00,129.49133296934443,136.62647632109733,161.25488879711892,197.31856693600977,208.1797952114012,243.3637955072109,297.82009112152025,290.92305534530254,292.9235925018494,304.83120453085314
7,1985-01-30 10:44:55+00:00,115.7108086078002,127.48199295618784,145.9802823137631,178.02107588056197,194.42761339495354,228.37140607530122,274.15549114908805,277.20867262253927,279.41767892425565,285.9342971686913
8,1985-05-22 10:44:38+00:00,146.6283867127577,153.91221748508704,178.08965182566692,215.07535994109503,225.31606233969728,255.15276617820464,308.88298031825445,302.6636161275893,306.61196521569866,319.66567152816026
9,1985-07-09 10:44:29+00:00,145.57984382738434,158.17898612711355,174.76743679374403,210.84633905358,224.3604108318791,249.27239501640682,307.92513139206585,302.55797257527604,311.5086081966443,316.55579043518713
10,1985-08-26 10:44:03+00:00,140.70536255702928,146.66880048527662,162.54893037699512,195.8137502792447,216.50816562133122,245.0269911836366,303.3104443961617,296.7494959233242,301.11355087297676,308.3074560700553
