,dates,CCCL_2,CCCL_1,CCCL_3,CCCL_4,CCCL_5,CCCL_6,CCCL_7,CCCL_8,CCCL_9,CCCL_10
0,1984-04-17 10:41:41+00:00,252.5426005036443,281.82384785334193,244.20232055170828,226.94993485173478,219.29102724433002,,,,,
1,1984-07-06 10:43:04+00:00,244.48689629992245,276.7618032001406,233.69356882497368,221.24587280735105,212.6233578537698,210.5321925536604,210.42896893038116,218.28097453922982,227.25095440258187,264.01731524385207
2,1984-07-22 10:43:28+00:00,242.40292930381236,274.2548054705443,232.70787169220347,219.2293173624921,209.81490332417954,205.69400218362026,206.09339045983694,220.37146123061495,232.51396589158833,257.73444256298666
3,1984-08-07 10:44:02+00:00,246.83541610079072,281.397374007846,239.0307831799633,221.96984323200618,217.79389438929826,213.331491597746,214.17272289224422,228.79090040046873,237.54815171170608,265.76301407233336
4,1984-09-01 10:38:47+00:00,,,,,,,,224.79459545221948,247.9137466576165,264.4339003829249
5,1984-09-24 10:44:38+00:00,252.91885347833107,286.4030188655848,249.484693793883,225.9658621614045,221.30636572566976,216.77267611082436,217.17389518049785,224.98230862269094,244.10079394876644,267.3457329593037
6,1984-10-10 10:44:36+00:00,252.45297994433423,287.2816479324448,242.24548580080386,225.9175551100397,214.9717751157503,212.78156209196896,211.3477819331467,229.09581831056693,239.11998792168134,264.5710053362942
7,1984-12-13 10:44:35+00:00,243.59439590850363,277.12469452791856,237.78677766442388,219.43285882666711,213.2705723453725,204.60674274742806,213.0345828738404,217.83224230012817,224.15901616737136,257.4033377741259
8,1984-12-29 10:44:44+00:00,239.12082128151297,276.2621027334273,231.09682293447634,213.94356777176097,206.07743228768757,201.315120678674,209.91791812350255,210.93834142725086,221.73457962330735,248.4711779458929
9,1985-01-30 10:44:55+00:00,227.09915977504025,263.6936686859827,222.713337654078,198.3419044824548,195.18706655336507,193.0511943307922,194.1204031668527,199.51519522328115,212.7027493125251,240.45755057552455
10,1985-05-22 10:44:38+00:00,253.28471136151182,287.48670825057155,238.45388477195465,226.25633833173603,219.70159898111345,215.6481555065715,215.70573838457548,222.73189283712748,238.639851570512,265.752838735324
11,1985-07-09 10:44:29+00:00,249.37206495090788,284.48261271460115,234.4915125350375,219.77060115414676,215.16252810566115,207.8304619916429,217.988065582332,224.2488621345679,233.2412446311823,264.1170424461069
12,1985-08-26 10:44:03+00:00,246.0687322464371,277.32957636581926,233.10321557763663,218.2977379578102,210.8697230877692,201.39311112860568,207.39273269937115,212.78092697581792,230.20380042717596,257.9312327662238
13,1985-09-27 10:43:40+00:00,236.76071542165843,271.47273438121357,224.19188411319982,215.14236625639694,210.7129710869317,204.64915337475543,211.15962309514862,209.76673223952548,231.12443154446987,251.53695360210833
14,1985-10-29 10:43:18+00:00,226.05596996897975,262.08401007615015,215.06444697940952,200.68285217729965,196.9704649903576,195.01974781248995,196.71964514651356,196.97524510822947,219.8075606340275,243.20852429622585
15,1985-11-14 10:43:03+00:00,254.18557233083058,291.3542194012658,238.8837539568649,230.46694798380358,223.02572966243105,214.89113884671303,224.67374334579318,225.2577603005141,239.4796713718094,273.35517092689736
16,1986-02-02 10:41:30+00:00,238.04851877626436,267.99369731029674,223.35828424716368,213.61538398010214,203.79134881334437,196.0925570160671,189.51615506313067,204.61753367753244,213.78309105210036,247.11075205687678
17,1986-02-18 10:41:07+00:00,203.09635005596417,239.55698808514506,193.1787418144908,186.0989494744349,182.44395341919372,173.5680776584867,171.91226574658364,174.14531851647305,187.5741653385773,218.7552439708832
18,1986-04-07 10:40:07+00:00,238.53526748152194,269.7160213619489,234.17879283692776,216.36536537976127,215.80135042116888,199.9664381179875,197.53673260965485,201.7747172662299,217.71815332666114,245.51625743539333
19,1986-05-25 10:38:54+00:00,251.75141313511168,283.96752958759623,234.565564998928,216.32489193072325,213.95596327218334,198.9243698517028,212.8619490328739,211.89608196138056,225.23133168727728,256.8823542349942
20,1986-10-16 10:34:04+00:00,,264.1570959906105,227.70252947574414,204.98796299977965,198.1883576443867,190.67702937235867,199.84589981929622,203.6630141879196,218.64120466527743,237.9533465095086
21,1986-11-01 10:33:30+00:00,238.26893935605247,271.9886769482294,229.83647136778868,211.6875636590653,203.96703429930204,197.00327627630625,210.0773157619947,213.07963732901655,228.87712388251788,257.20391218406485
22,1986-11-17 10:32:53+00:00,236.82335410407939,269.7234566578029,229.18009671152603,211.94381215676435,200.74804792225427,189.4350816593335,197.78507609116355,202.72790292235638,218.45667893529082,250.8702507567744
23,1986-12-03 10:32:57+00:00,244.10273606760626,274.55807754766926,238.79981973394646,215.03957619188552,207.2339212581428,197.79500072380677,205.33062259670135,217.73102015107497,227.68625516473406,254.77373080781848
24,1987-01-20 10:34:22+00:00,234.72884456873743,272.4447476046055,232.03129682528623,213.0192820812245,214.9071940119188,204.1396885853635,205.70243819039248,212.35680409314284,221.02020494181247,252.15738363935645
25,1987-04-10 10:37:18+00:00,,,,,,,,,,
26,1987-05-28 10:38:40+00:00,248.64148883324413,283.1506580793543,236.21488800406428,219.39675683886193,214.3387966801364,208.39758752654802,214.33019814523948,218.26738903614756,228.27702992138768,258.45084089626897
27,1987-06-29 10:39:23+00:00,246.98973116090565,274.2133299444678,228.6646236885167,218.7938581330623,207.54338275223975,200.9850462618288,201.07728028737566,207.52536529624098,220.1971288268278,255.6261681829913
28,1987-07-31 10:40:07+00:00,256.9456596895501,285.2713698848264,236.73586584403645,225.01841597222028,214.5811159389622,213.07224227960725,218.83546413381364,227.3346556415056,241.68032636377762,265.9986647159329
