,dates,MRMG_1,MRMG_2,MRMG_3,MRMG_4,MRMG_5,MRMG_6,MRMG_7,MRMG_8,MRMG_9,MRMG_10
0,1984-04-10 10:35:54+00:00,160.48585383437683,198.6105818029044,164.95815343960572,126.93531658900244,114.05970143862689,109.12686044476611,91.03215874810702,97.8660595901544,118.72052527778035,168.15642714619665
1,1984-05-12 10:36:15+00:00,164.85477792681266,201.87275728300943,169.3743191719032,126.97063513215801,115.9649629881134,107.86838518913963,93.49141171762881,104.8029348735912,119.99785414498216,172.56958825909518
2,1984-05-28 10:36:41+00:00,193.45749133534525,222.8447010393712,198.970247338501,150.3228821048858,139.1685683250355,118.8110111122803,112.98406761504518,126.245196566576,140.94137534376844,191.25410774109386
3,1984-06-13 10:37:00+00:00,169.4881342272729,207.94198867156507,173.43967392726168,133.66596300063424,127.12192810080646,106.73200885643908,97.59160241669994,105.86103125285939,132.14262623004967,178.73771171072005
4,1984-07-15 10:37:26+00:00,190.1634145246985,228.67281734881448,201.4780023880474,180.43512746890357,136.70995852642812,119.52760462758438,111.96036366653338,118.42546154571444,134.357202214599,183.55694081834588
5,1984-07-31 10:38:00+00:00,188.47888321331993,234.06491823601834,194.2745181038028,191.27715230139296,139.56222721177093,131.46221406910155,110.2085687244253,127.29777705266501,143.3684977395652,187.80323838616985
6,1984-08-25 10:32:34+00:00,179.3921249984992,224.86383755176843,187.7975782244634,141.93265083581448,125.07332898356304,113.87256125410244,106.08072355701663,109.16233226881349,135.04719354737972,183.1314632534578
7,1984-09-10 10:32:38+00:00,189.25570322343538,230.47967535669378,198.09516655425693,156.54318782403587,128.03473800612096,121.28661243658092,117.13170558312981,123.74382826955781,143.0883003675097,190.05203031409536
8,1984-10-12 10:32:38+00:00,,,,,,,,,137.78871535536746,183.22421964456214
9,1985-03-12 10:39:09+00:00,179.56695831514008,238.81840766082166,170.29414269328734,151.23981544641157,127.93495831983978,119.37893874789393,108.06144343509973,111.12582188530024,133.72493459463274,183.90407800262253
10,1985-04-13 10:39:02+00:00,173.04077745092903,213.38979193883506,161.23570799543546,135.94667331430776,124.02963730711582,104.31092188826473,93.6659493853525,104.56560870330179,128.16538537507577,187.20160105174864
11,1985-04-29 10:38:55+00:00,172.92016769530068,210.39896462213295,163.2102048995401,137.74046186985981,123.8085873886114,103.71969639911848,103.13687153372159,108.24269896076224,138.63408792526738,185.44569343741344
12,1985-06-16 10:38:49+00:00,172.03478667204513,208.44720416388276,168.12604602687148,136.08846220574867,123.53289153865771,102.74965513263808,94.2017441888494,109.36480683472054,130.68934280652425,185.4001237851391
13,1985-07-18 10:38:38+00:00,175.73089055851725,226.26452047787706,180.79325014053023,145.79203322180484,127.0930033024662,119.58473889194809,103.65165742758634,110.55645044167517,133.23090010742163,183.48858594418624
14,1985-08-03 10:38:30+00:00,178.7618464453274,223.37435188624764,172.5706479890692,155.80477339171085,135.10393345250498,120.29438458323867,102.1267250607093,113.09105867002468,137.34445090353051,182.8015179327445
15,1985-08-19 10:38:20+00:00,214.6041864976496,234.14293680156078,213.66371169928462,187.08710399031744,154.5591934854864,163.47436713541424,128.33059043722034,129.17308676495395,157.60948302463584,201.18547659684899
16,1985-10-06 10:37:47+00:00,191.51561776689937,228.54258491745614,177.7249277838982,150.7233278363863,129.13313114783355,118.20885243178786,108.69514416981595,119.13726512899368,141.8210510515035,189.71232919397892
17,1985-10-22 10:37:36+00:00,157.15838586056344,200.0074424184472,157.22197259627762,131.59076390104636,109.5259480701645,95.69424980417627,81.3533019101103,84.48290065420758,110.30462432151282,152.2383635724692
18,1985-11-16 10:31:03+00:00,,,,,,,,,,
19,1985-11-23 10:37:06+00:00,170.55426492691782,211.58692450676438,167.26804073630257,138.80837158019673,122.23331697331176,107.63844726825923,98.4732834872024,107.44765721698046,130.69691021070963,176.40709212472484
20,1986-01-26 10:35:52+00:00,205.05299938698982,252.14649761739307,210.42981078629347,191.7556794078484,165.82566185791154,135.70237346457589,127.03848361816006,119.33077641523361,142.71782570564233,191.69493698065395
21,1986-03-15 10:34:48+00:00,210.57040402878704,251.51558288105915,217.6287247898759,190.38879774810488,165.8840569077139,159.07126149465134,120.63224552079907,145.77914348420555,144.77620313440454,203.42566064741388
22,1986-03-31 10:34:29+00:00,199.1435126959919,243.58326276149526,200.58971834784825,189.76865270038965,146.3948425020258,137.2160796984236,114.29849905296227,131.7702856221665,144.51210637852012,195.81120595293055
23,1986-04-09 10:28:07+00:00,,218.68936214122954,195.64124687502039,190.55056810805002,130.99843587663568,115.40793111339592,92.69211290068088,104.61933143991881,123.22291257226102,180.69331444705085
24,1986-04-25 10:27:44+00:00,198.98503809231647,224.6465179367736,198.28123444723084,166.85999255187943,141.48757753316886,106.10002460116112,98.56931209727547,103.44455146049859,125.77087262636228,191.20210448226544
25,1986-05-02 10:33:45+00:00,183.87836193060687,221.61383096611684,174.38462003099337,128.9619361322407,116.55661094763745,96.81769187669325,80.71141999309724,84.8939744218483,122.14109785808269,171.47657781198706
26,1986-05-11 10:27:20+00:00,200.46043127815938,236.40620386828985,200.10513161302788,168.61070315555096,153.02170953494408,123.31601951084257,109.56306074898772,107.51021652779906,127.39372993440497,187.75689796823514
27,1986-05-27 10:26:53+00:00,191.5199794117974,237.7689518777555,198.4458840620802,176.3872144182761,166.8352485551245,139.58247688137345,104.31736322404956,108.1464213655153,137.67494777729073,192.08963518235674
