,dates,CCFT_1,CCFT_2,CCFT_3,CCFT_4,CCFT_5,CCFT_6,CCFT_7,CCFT_8,CCFT_9,CCFT_10
0,1984-04-17 10:41:41+00:00,131.717584644881,157.047471188155,100.058992168155,65.3543257082207,56.5032564343224,26.7734289958551,,,117.167081399565,78.8795549425833
1,1984-05-03 10:41:43+00:00,129.465202023657,154.734336131944,,,,,,,,
2,1984-07-06 10:43:04+00:00,119.66804723658,140.186757871421,81.2851092741932,48.430575481606,36.1553717937747,24.2284791769779,,,113.328120997537,67.895648364855
3,1984-07-22 10:43:28+00:00,115.00956453408,140.487681182047,84.992270306927,49.368227809108,35.6437896790589,30.9103725581918,,,119.407154479696,77.6990042358603
4,1984-08-07 10:44:02+00:00,111.353530057799,141.966511298356,87.8937204076648,49.6430597460105,37.6129344871862,30.5490231206206,,,118.115767630723,64.4933277446086
5,1984-09-08 10:44:36+00:00,118.246081310825,152.442711989115,98.3194536720839,45.0429813738729,37.4120063039267,31.8660404516108,,,110.917349713121,68.1927868684634
6,1984-09-24 10:44:38+00:00,122.629279932058,156.469497181116,102.047712459542,51.0953759260293,40.1302210435034,44.9582002779706,,,106.127016290911,64.4202738403201
7,1984-10-10 10:44:36+00:00,135.748120028134,167.978985275605,99.9709004298782,58.2564767452996,41.5854453333924,43.4516612163329,,,116.402033298663,67.8712348731471
8,1984-12-13 10:44:35+00:00,106.082288970654,132.204451524188,71.9034926550997,43.686943928282,35.209882530636,,17.5522866031502,,102.723602766885,56.941646886938
9,1984-12-29 10:44:44+00:00,106.535599554836,,71.6670735145812,48.2869528752191,,,,,,
10,1985-01-30 10:44:55+00:00,85.7008205491144,119.600631353394,59.2516368694157,23.5838927794121,5.69494456657941,-0.617689997227498,1.90227556612748,38.5646049116755,94.6302512202335,52.8460232181773
11,1985-05-22 10:44:38+00:00,,173.849174445139,149.487196248695,89.5778715935188,60.1149947769215,40.7821836282137,,,120.836935328931,103.529449073295
12,1985-06-07 10:44:37+00:00,116.035828661024,154.096635984382,133.25835454141,76.2921045544331,55.7478916606892,32.5439269956293,,,123.330195877105,83.2920388817665
13,1985-07-09 10:44:29+00:00,109.788439912586,153.776835980811,118.916256465241,67.8156175360329,,34.0277802645276,,,,
14,1985-08-26 10:44:03+00:00,103.727887736161,128.932243629669,95.9109459616418,45.1373859845037,37.4850844373119,22.7946643000678,,,94.282348180925,77.7750331972961
15,1985-09-27 10:43:40+00:00,126.276175534117,144.558015080061,112.430921804404,59.6448405778959,40.3607852464928,32.2197112564588,,,103.16613456531,82.2751444238326
16,1985-10-29 10:43:18+00:00,105.981290571909,122.588924230748,84.7857857840716,32.0244587575916,15.0726967056788,5.75705605559536,10.5164727336844,35.943795349069,,57.2819766110102
17,1985-11-14 10:43:03+00:00,157.504487017741,172.215217404246,127.102657814869,71.4678587409474,58.5438522371673,62.0329792081237,,,127.381755660797,97.4150921196786
18,1986-01-17 10:41:51+00:00,107.792191401638,120.494159064149,78.7162317015944,28.5093360949291,10.0197134920606,5.33091890047809,16.5989289273367,47.6648662622782,107.913854468366,74.515394935559
19,1986-03-22 10:40:27+00:00,91.7801473252759,109.986340001169,71.5303289458619,29.7941212310664,-15.3773341272916,,-0.93304419875885,,,61.2452881430557
20,1986-10-16 10:34:04+00:00,95.8336095752358,128.102755536842,81.9430870667314,33.6932633926731,13.3255041064356,1.00588303573599,9.73116941478584,48.5708726793053,99.1924362396622,69.0594073698797
21,1986-11-01 10:33:30+00:00,,,,,,,,,,
22,1986-11-17 10:32:53+00:00,84.6342097767425,119.201953288701,63.6836565527667,25.5228001638171,-0.700067997586254,-9.1068764043262,2.42424637379668,43.5356928626533,96.985050399812,66.3274762836768
23,1986-12-03 10:32:57+00:00,119.662695361611,138.297647271202,85.4379928822313,52.2334672632222,34.097909603212,24.8918795357391,,,127.774881270288,81.4522634466057
