,dates,MEIA_1,MEIA_2,MEIA_3,MEIA_4,MEIA_5,MEIA_6,MEIA_7,MEIA_8,MEIA_9,MEIA_10
41,1986-05-02 10:33:45+00:00,165.0984592,144.1129425,129.8314804,122.3773484,100.8430678,78.6936452,60.58032091,53.86988274,67.8325248,-5.629400227
42,1986-05-25 10:39:18+00:00,172.1764931,150.2724293,130.6340986,133.4392456,105.9522835,84.78647895,,,81.88263084,
43,1986-06-10 10:38:49+00:00,164.8206214,162.7035359,131.6383307,131.5410107,111.0318185,81.38379234,66.26310516,65.49952265,67.02597448,
44,1986-06-19 10:32:21+00:00,152.6418595,129.9851372,120.0503192,108.5255322,95.96822628,66.57164717,52.04491353,49.14633335,51.93434499,
45,1986-07-05 10:31:49+00:00,,,122.508983,122.3545878,,,,62.54125998,68.38812482,-0.778500202
46,1986-07-12 10:37:46+00:00,,,,,,,61.72430552,57.81629925,51.79919499,
47,1986-07-21 10:31:16+00:00,179.332775,159.0347462,118.9121035,133.8328796,112.2490788,80.81550597,63.38358654,66.88855797,64.74474816,
48,1986-07-28 10:37:12+00:00,173.0872493,142.5726694,114.2948349,121.7142052,105.4425955,76.31475503,64.6444212,61.38163232,64.16540803,-3.608157183
49,1986-08-06 10:30:42+00:00,198.1891341,154.9292748,141.3579557,141.4510357,121.081862,87.37152792,,74.61023268,69.02496157,
50,1986-08-22 10:30:06+00:00,,,,,,93.62284907,62.2214016,75.09804479,,
51,1986-09-23 10:29:02+00:00,197.6468519,162.3397193,142.8459654,138.9575074,118.3950303,88.47423721,66.47609486,59.24464864,86.24206631,
52,1986-09-30 10:34:59+00:00,170.3022724,135.2649329,119.5800406,115.9703232,92.01485255,67.08701456,39.91280111,40.88616058,43.00934158,
53,1986-10-09 10:28:31+00:00,188.5240368,159.0793246,142.7831545,135.0208962,118.4924919,92.5765733,,61.61908019,75.12399181,
54,1986-10-16 10:34:28+00:00,174.842813,137.5219334,127.6808529,122.1042432,100.4381951,68.6066164,51.94021428,46.36674603,51.81447459,
55,1986-11-01 10:33:54+00:00,186.0020077,148.4275369,132.1230534,128.8668385,105.9477545,75.77497467,59.87311999,54.92328135,64.73274142,-4.028607074
56,1986-11-10 10:27:22+00:00,169.1456816,129.672579,123.1269161,116.767733,87.80671721,69.71191223,44.77693473,42.45893709,51.1663955,
57,1986-11-17 10:33:16+00:00,172.7915997,153.6872261,136.2959906,139.1342616,113.7425455,78.86612782,61.0709517,59.45232906,73.4697198,72.30231744
58,1986-11-26 10:26:58+00:00,,133.0755194,111.1387071,114.3095759,89.01440819,65.81533342,49.78984488,52.4200992,,
59,1986-12-12 10:27:25+00:00,160.8492999,135.0406491,116.9962025,101.8829412,87.74043752,55.36079679,,54.30468034,65.72062676,-7.24894926
60,1986-12-19 10:33:50+00:00,197.1459324,161.309364,149.471522,138.3404104,115.4735597,83.69238824,67.04366826,60.75499001,80.30855868,
61,1987-01-20 10:34:46+00:00,190.5530517,163.1576155,143.6487365,144.5696289,107.0054567,86.94548372,,68.58597589,64.63956027,
62,1987-03-18 10:30:42+00:00,172.555338,150.8313969,136.4078653,129.0666374,100.5981751,71.72105238,,76.43183448,80.92857206,
63,1987-04-10 10:37:41+00:00,,150.0657801,,,98.42224058,81.47062582,67.27298691,62.42671368,,
64,1987-04-19 10:31:48+00:00,182.1698728,159.8016014,149.9916394,136.1767793,117.1013516,90.10596462,77.38429795,72.28807958,,-9.731830213
65,1987-04-26 10:38:11+00:00,,,,110.2979987,97.44647411,63.92771391,50.08476182,53.75841163,49.14919508,
66,1987-05-05 10:32:16+00:00,,,,,,,,,,
67,1987-05-12 10:38:39+00:00,149.9655587,141.0434914,129.038397,123.1980164,105.0746512,73.41728339,59.9018372,53.73435888,70.90183801,
68,1987-05-21 10:32:42+00:00,136.9015743,120.2014935,108.2399237,101.8527606,75.03682993,55.56221341,44.48124706,39.40833644,45.94107548,
69,1987-05-28 10:39:03+00:00,181.1934165,163.6556656,139.2168364,133.2162212,114.755051,74.54584458,78.83800058,68.73603762,82.1312556,-3.264678147
70,1987-06-06 10:33:06+00:00,147.7136145,145.0798449,130.333799,116.5394381,105.1973382,70.64708121,,54.37170928,66.03752818,
71,1987-06-13 10:39:26+00:00,,,,,111.9351859,93.73052978,88.453377,76.48855797,80.54740877,
72,1987-06-22 10:33:27+00:00,154.5594018,142.7453933,125.4708668,112.5176609,107.0976592,67.93830412,61.50206113,55.5123718,67.43389387,
73,1987-06-29 10:39:46+00:00,,,,128.039646,,,,,67.65223033,
74,1987-07-15 10:40:05+00:00,175.1786244,161.0607921,133.6834186,127.5332246,109.9761351,85.30085273,,72.45819216,,
75,1987-07-31 10:40:30+00:00,184.5534416,159.5740802,141.8989306,133.5508012,117.1106578,90.29478545,,70.65397019,,
76,1987-08-09 10:34:36+00:00,167.5633279,150.7076668,129.9773643,122.0985213,106.4584741,88.79854445,,59.81564901,,
77,1987-08-25 10:35:03+00:00,189.8606949,158.5427731,140.0737805,132.4887844,114.6959779,95.23889078,,67.67533422,67.71753914,
78,1987-09-10 10:35:28+00:00,201.0115304,165.8856771,155.2371821,136.8880554,117.7442285,95.21683697,76.06180676,66.70927138,,
79,1987-09-17 10:41:48+00:00,,,,,,67.63662797,,43.69235274,47.34108779,
80,1987-09-26 10:35:49+00:00,,,,,,,,,,
81,1987-10-03 10:42:09+00:00,,121.00446,103.5258544,,,,,,,
