,dates,ATMC_1,ATMC_2,ATMC_3,ATMC_4,ATMC_5,ATMC_6,ATMC_7,ATMC_8,ATMC_9,ATMC_10
0,1984-04-17 10:41:41+00:00,133.096901989775,142.027236633619,,140.031921965687,98.0030257022719,,121.262333138125,155.803100814949,135.227472509837,135.8972411141
1,1984-05-03 10:41:43+00:00,133.83110907512,147.558045614961,,139.791508422431,105.195044936975,,120.339978419027,152.938783308292,137.268489756445,129.256768056443
2,1984-07-06 10:43:04+00:00,124.639078124987,143.431943252411,,136.136953601002,102.014796668562,118.045803160722,119.919545706868,146.374332923409,133.760433791877,138.932739383106
3,1984-07-22 10:43:28+00:00,,,,,,,121.479634593204,141.120088369959,130.7604785916,129.64472096882
4,1984-08-07 10:44:02+00:00,,,,,,119.484623477047,116.475506685274,147.187421878126,133.585589403153,128.435204296227
5,1984-09-08 10:44:36+00:00,,,,,,,,,,
6,1984-09-24 10:44:38+00:00,130.579683060008,151.947871305796,,,,,,153.70291947883,140.217184596562,132.74353489474
7,1984-12-29 10:44:44+00:00,134.583641550457,131.362291351833,,,92.5933669391414,116.963514047684,109.575425914062,135.272876280119,122.445924547702,131.89901099996
8,1985-01-30 10:44:55+00:00,131.61910616552,120.57809524162,,114.993714998952,72.0412716371089,93.472514345954,98.0714894403353,126.234679516527,108.643400377192,108.47004369806
9,1985-05-22 10:44:38+00:00,131.51066129331,150.95289787611,,,94.7823041746316,121.225584405895,,154.726571269179,142.270570398971,139.60266967502
10,1985-06-07 10:44:37+00:00,118.845115638612,143.222300668594,,141.790146003777,92.183539206268,105.55365002118,117.472794859339,143.416700780039,133.068355264874,131.8615143296
11,1985-07-09 10:44:29+00:00,131.555773946877,147.609805703057,,142.182308823905,99.6487863642569,115.097529001841,121.062683921003,150.099696174771,132.562641267245,134.880251851103
12,1985-08-26 10:44:03+00:00,,,,,90.1668642017752,103.626237902273,120.304550037883,139.817450022525,127.953668130624,130.529447708576
13,1985-09-27 10:43:40+00:00,,,,,92.3087698184389,116.358930021237,117.080919888062,142.954963872259,130.677447575626,129.893468762396
14,1985-10-29 10:43:18+00:00,,,,129.846756471948,73.6778280202477,91.0226602646272,98.8244159131388,119.866669578312,111.137325821665,112.687555785468
