,dates,VAGR_1,VAGR_2,VAGR_3,VAGR_4,VAGR_5,VAGR_6,VAGR_7,VAGR_8,VAGR_9,VAGR_10
0,1984-04-17 10:41:17+00:00,267.71347587759277,239.55994164163457,258.4011155389653,251.06921939051912,220.73755244303078,244.6514001542919,248.78060295392282,212.6844789896469,137.85760194425308,185.14255041973863
1,1984-05-03 10:41:19+00:00,282.18467260437615,224.3211302759098,221.90856473168589,240.42611181853437,213.71392412472085,215.19010562573442,206.67589792481874,170.95094824168902,106.84057804215587,185.63788537137094
2,1984-05-10 10:47:45+00:00,263.23569179323846,213.888902163472,,,196.41134287602944,207.96981271029554,,,,
3,1984-07-22 10:43:04+00:00,,,,244.04648754408205,227.45107461161916,260.558464358489,206.3828216437526,,,217.44461496362965
4,1984-08-07 10:43:38+00:00,,,,,,,,,,
5,1984-09-08 10:44:12+00:00,,231.94173871111695,241.00533485133155,222.43180284863882,,,,,143.06425477140007,170.0208673693987
6,1984-09-24 10:44:14+00:00,262.79172877339437,234.66036234512598,220.44711731461052,209.79454542876078,187.5259336139324,229.26601991714247,201.90818953392184,171.36141972025007,168.03437436435473,154.45314853309665
7,1984-11-27 10:44:01+00:00,273.71745119333957,235.32026691240043,224.38423687129946,216.10280370574156,202.52101550985518,166.70941594322835,177.63400307544535,188.898721734448,144.07779670811252,187.99937343063132
8,1984-12-29 10:44:20+00:00,230.07626380094143,219.80339297036716,205.1450043037524,178.38009254671192,167.36694780376698,130.66256927655533,133.3747117419726,106.31283581194016,84.84613404224994,139.8213837739467
9,1985-01-30 10:44:31+00:00,236.68154323366838,221.53116472781647,164.68294723776242,171.07441447424907,169.5942660307906,140.43653424683032,118.41599188420146,106.70661637549694,70.14148058028,149.63483283774872
10,1985-05-22 10:44:14+00:00,,,,,,,,,,
11,1985-08-10 10:43:49+00:00,267.4973650887653,226.70759755423774,214.33781342918013,207.35415149211826,211.30999645651224,191.17602032063382,137.9234473788683,146.5087419311712,117.33102397143864,162.91481383243814
12,1985-08-26 10:43:39+00:00,267.4809410782565,235.296311456048,,,,,,,,
13,1985-10-29 10:42:54+00:00,,,,,,254.95644285539316,246.04370521857254,226.69717872487132,,
14,1985-11-14 10:42:39+00:00,273.68028987436537,281.551020041592,242.84299316991195,213.7395696891358,236.23978008169368,199.06100283870683,176.81129353075175,175.42422256786526,152.05135121940575,191.08019327501813
15,1986-02-18 10:40:43+00:00,243.8786280294923,210.83777093662135,186.10664489247674,171.38709705313585,149.56248724493113,134.68936692151826,108.9398712204439,107.59894301237773,69.9467272104934,114.86044333440012
16,1986-03-22 10:40:03+00:00,,220.4535185991206,238.3151421063629,202.38806232186113,,,149.46789272743192,131.3095637919564,97.83501036053326,154.71245268563447
17,1986-04-07 10:39:43+00:00,,251.11297563686253,265.729165364303,211.31843965039315,194.5231374794773,187.9970638680163,163.42976918950095,141.461039961785,111.1013451408399,154.292238178302
18,1986-07-12 10:36:58+00:00,,,238.56215274282323,220.55137216883372,189.60181449502988,,,,140.78779791540376,211.58318438186598
19,1986-09-30 10:34:11+00:00,,,231.10639051945606,189.30818726555853,168.78263729160864,181.58225347319552,164.6795655435471,164.17747748314716,133.36141797583315,193.07401181392834
20,1986-11-01 10:33:06+00:00,,,273.857539618929,171.70328997119788,184.1968498934168,150.87333062900967,143.20343770967924,132.15874154839446,117.50921995144198,162.00960883441562
21,1986-11-17 10:32:29+00:00,,243.84050676549845,212.0142446521462,162.26546793343627,146.88107660089184,122.9118395297476,102.74782542351151,111.5388858812421,79.59897004633041,115.41371217653256
22,1986-12-03 10:32:33+00:00,,,,246.25022082047315,234.45565746130956,167.37785915048158,160.0222751698454,155.80438561328472,127.07969012917013,185.96627642678067
23,1987-01-20 10:33:58+00:00,,,,262.0323608491317,208.1104745045021,166.69623211130155,136.42153488398614,118.59850046583784,113.02208233444048,155.34582038644123
24,1987-02-21 10:34:59+00:00,,,261.77109002857134,259.8255278766345,212.58893284972663,188.29214515929357,139.18635721163906,108.85103567738417,75.01920295893538,140.18921029290152
25,1987-04-26 10:37:24+00:00,,254.76420709107182,257.54154771246544,257.40807957035634,218.16720320238446,188.96589952834083,122.6795937295097,93.22771098682759,75.4188902119658,130.0247912324626
26,1987-05-28 10:38:16+00:00,,,,,,220.6495774837863,152.78613179278466,121.81673402049135,131.1254587311613,159.90428811743587
27,1987-07-15 10:39:17+00:00,,,,256.276745561016,229.36297910625643,215.6876414036147,153.08292591605567,121.87542283942942,125.43856341610268,131.67589262065587
28,1987-07-31 10:39:43+00:00,,,,227.62305208611926,237.9913531659539,205.951320412459,165.90138208420112,119.00557969184571,124.72609249131071,126.01957667586599
29,1987-09-17 10:41:00+00:00,,,,,,,,,,
30,1987-11-04 10:41:57+00:00,,,,275.94524671372164,261.4982958339398,168.66796288893863,140.18626768612685,106.28362116071315,75.82860584240733,100.47560472049358
31,1987-11-27 10:48:35+00:00,306.1097594828851,,263.29397311601485,251.72786762897277,262.2507422919914,197.81533789111208,148.6091801805573,105.96080093975849,72.1705187832383,83.99816531893896
32,1987-12-29 10:49:05+00:00,260.61697286537117,251.23861512031297,,,203.09207434622465,166.07414300986022,145.94112348604384,,,64.30835304545538
33,1988-03-11 10:44:00+00:00,,,244.02209882208973,220.2854236700113,240.70526843535055,192.81701650068413,185.7367471197063,94.27741213005567,106.5940214366513,118.16638913932546
34,1988-03-27 10:44:09+00:00,,244.2096468434429,247.42710236099938,202.33848454184974,210.3552179539197,183.27366388649457,152.4012105150809,97.11734338211606,78.9567488805368,117.45877208472069
35,1988-04-28 10:44:18+00:00,,,,,,,,,,
36,1988-05-14 10:44:29+00:00,,,252.63309162477802,221.8755506832897,208.81609549368562,211.87311112706064,144.435073472147,114.72881001417389,85.23152126570753,122.52300548037955
37,1988-08-02 10:44:51+00:00,,,,,,200.23053007444997,170.43848452431587,124.35224861477246,,
38,1988-09-19 10:44:49+00:00,,251.50858754122623,264.98072860348356,233.34023824765526,220.28034938663177,190.2208445372786,172.96561626466217,119.61734950396442,144.03062121951194,96.48918117848257
39,1988-10-05 10:44:45+00:00,,,,,,,,,,
40,1988-10-21 10:44:38+00:00,255.84136965467547,266.74263371164074,235.51351888214106,218.24127627742726,206.3021860487613,140.30915954526648,135.57531935515118,108.4601094699891,110.48604373933941,65.0991192439999
41,1988-11-22 10:44:43+00:00,280.3112544441609,287.708371017898,246.50549568726515,259.17819412944766,216.91113672478525,170.8407893484407,146.33460584690488,119.64676621108826,93.09085099343702,89.31276306907155
42,1988-12-08 10:44:34+00:00,278.82716870370604,,272.2644070490774,256.8327392324598,228.7790437835801,168.53800236788973,143.67772471561426,109.58778165028552,111.35642999229982,106.33362795021023
43,1989-01-25 10:44:02+00:00,251.41943861741072,248.26223077049406,249.93451837944087,233.33200432953353,202.30421404927475,180.78946224529153,107.04226842523201,,,
44,1989-05-17 10:42:34+00:00,,,,,,,,,,
45,1989-06-18 10:41:57+00:00,,,,,,,,,,
46,1989-08-05 10:41:04+00:00,,,,,,,,,,
47,1989-09-06 10:40:20+00:00,,,253.6871309381051,252.29312879617282,270.70298013304955,,235.38633578830263,150.6202706373478,134.6307978730946,114.56191335650084
48,1989-09-22 10:39:50+00:00,243.22530580010516,230.6526357730705,230.4056814232139,237.7136121341705,242.57912439507885,234.32978361642995,209.82075012726793,123.41379205672455,99.6063226401752,67.72921584453213
49,1989-10-08 10:39:38+00:00,,,,,,,,,,
