,dates,CVMR_1,CVMR_2,CVMR_3,CVMR_4,CVMR_5,CVMR_6,CVMR_7,CVMR_8,CVMR_9,CVMR_10
0,1984-03-22 10:34:10+00:00,135.38873635852335,161.4670373419288,186.7584381620331,142.0917324453256,137.1702264188647,89.50481243426664,242.92257344919028,294.5497289272116,,
1,1984-04-10 10:35:54+00:00,256.6217042172791,146.40573771066425,162.9817217668671,125.92991453432069,115.85707990766615,79.32394090530371,250.15389543054425,217.13863299792575,180.33035053971702,149.35124581211352
2,1984-05-12 10:36:15+00:00,254.82179888488912,143.88679846959494,163.43529942159648,127.60676727786854,114.9377951219041,76.61410721015218,256.933115596379,225.9032679354504,178.3254726381976,159.3632358729414
3,1984-05-28 10:36:41+00:00,274.86430619064697,123.67563697427218,135.33521804813273,80.44540410052296,56.18972303175238,,257.1391263248315,247.7597310104542,200.68825228239118,178.35215982470794
4,1984-06-13 10:37:00+00:00,272.4434334014424,124.41295586196733,146.32688087760528,,,,251.27552102686698,221.71877629365235,179.99738195486972,157.00782438380634
5,1984-07-15 10:37:26+00:00,281.7310541686349,115.13585875906422,143.7701611839767,,,,255.77677327742919,231.60612449040735,204.55579030411917,183.0744757505871
6,1984-07-31 10:38:00+00:00,282.76489628618987,114.48887638493399,145.7960096538951,,,,255.10916178304683,239.1329299846301,209.20768029110005,
7,1984-08-25 10:32:34+00:00,265.51904003613953,115.2756385611798,115.59049374561529,89.92530513785972,,,253.21442110979396,230.96221098692456,188.57152330166042,172.7058884371263
8,1984-09-01 10:38:47+00:00,266.33412397056895,137.11181998821348,173.91930866246014,134.7281753393278,117.50809216119484,74.3520440207358,249.4290349181367,234.88363034547683,,
9,1984-09-10 10:32:38+00:00,273.42337095898665,107.22256028156845,172.73930317091742,,,,255.1148097726611,242.76149468630308,201.8797673049997,176.3172504142991
10,1984-09-26 10:32:40+00:00,,,,,,,,,153.41163875233704,133.68442802394094
11,1985-02-24 10:39:10+00:00,238.627947342425,253.24384834482777,196.6861567311774,161.9844653882487,137.701913188051,84.59751725251036,227.49631064897062,187.86802506306856,143.63720863278198,135.15368103773054
12,1985-03-12 10:39:09+00:00,269.4331298875743,127.28633361847571,141.17953347640764,72.26146782243538,66.4155476572163,,256.01844214705295,237.98513131093011,199.02937979711123,168.59943160129635
13,1985-04-13 10:39:02+00:00,261.8709319278237,126.91403280811494,133.4152899374344,95.96036515297119,82.99555984010041,,250.73258026084642,235.86864034711004,177.3420499819566,150.0968007266943
14,1985-04-29 10:38:55+00:00,265.70931516779456,133.30273447917108,147.60203332431962,117.52859856075717,109.23812512945375,74.0259020685837,249.48994602104523,226.16389505580338,182.07481763940157,153.8390221164092
15,1985-06-16 10:38:49+00:00,262.54605683930953,123.86976862659012,131.10033504602956,81.87119979932834,,,253.1622705955898,239.47978850587202,186.93327660679716,160.30138472725784
16,1985-07-18 10:38:38+00:00,270.631261508991,114.14210508987173,150.92326303107484,,,,260.16219196818184,232.19677414150627,197.68294948671686,166.6128729056719
17,1985-08-03 10:38:30+00:00,268.72331512873376,125.4050760601177,140.88250704008374,,,,258.8285418231788,230.9917435068695,184.11757805154727,164.92735376556772
18,1985-08-19 10:38:20+00:00,,115.7045408019692,140.574946050882,,,,257.8951509432731,249.1973437413542,206.61198960156003,200.06303671369375
19,1985-10-06 10:37:47+00:00,280.29308395320993,120.654343735481,140.37826030506733,,,,259.93819800864947,243.89079291909724,204.96954451840696,184.07744860614793
20,1985-10-22 10:37:36+00:00,248.4393071599056,147.5637484827575,,,,,247.6126838521066,208.74978817973022,166.18667593257268,148.4429999964068
21,1985-11-23 10:37:06+00:00,256.26947505862563,215.4758986706213,160.37552528900386,124.80741545384737,109.97731256649404,76.42321238503284,249.07126604474567,227.16833658017185,172.52311098865806,160.88664706674575
22,1986-01-26 10:35:52+00:00,282.4848728027142,122.23604024316138,152.74595819142138,,,,256.85770134153097,244.42740538757914,213.80866341147689,195.76481828317037
23,1986-03-15 10:34:48+00:00,278.88951884219125,114.92657932558069,146.24705339835288,,,,254.97677052833683,259.1677683339001,222.26638443935187,211.62751148434594
24,1986-03-31 10:34:29+00:00,281.02361167661854,123.18897134738344,140.597401527793,,,,258.8195140570273,249.46915402442613,214.51578876582863,200.49918564797963
25,1986-04-25 10:27:44+00:00,,,,,,,,206.32741103415185,202.44612171197932,181.18375308160455
26,1986-05-02 10:33:45+00:00,263.0759094406177,142.27948483193143,151.722311357418,117.19369892647097,106.61464535809372,67.24781943471635,247.49884119141518,224.12690814852868,199.16106925978286,173.48243428648186
27,1986-05-11 10:27:20+00:00,,,,,,,,198.5607974266576,199.41746940514295,186.72218963473793
28,1986-05-27 10:26:53+00:00,,,,,,,232.48290034180286,232.19424725461704,202.54423428675688,184.5874824909335
29,1986-06-03 10:32:51+00:00,241.2248316709785,208.05811110283605,171.71877756455575,130.1783873754878,116.1863029452231,79.33791797495445,246.74128547267946,217.1996512315314,187.32026536816073,163.37119615415128
30,1986-06-12 10:26:23+00:00,,,,,,,,237.77907686782896,206.75020882645967,198.96240558794526
31,1986-06-28 10:25:52+00:00,,,,,,,249.31118197255495,254.72819854891927,185.65924025805907,185.05416359334575
32,1986-07-05 10:31:49+00:00,255.4229981772,135.19134162322632,139.35449948284565,87.61086172138317,62.986517421135815,,252.77892447837985,232.5925295440693,197.51580176731716,188.56110645574375
33,1986-07-21 10:31:16+00:00,261.98429312319547,130.7478981564407,151.51001258026886,177.610161535139,,,255.19967974575178,232.71910062153293,198.8062510639334,189.53470969456768
